book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 1/2-1/2 (us: draw)  [2+1=0-]
game  4: B 0-1     (us: win)  [3+1=0-]
game  5: W 1-0     (us: win)  [4+1=0-]
game  6: B 1/2-1/2 (us: draw)  [4+2=0-]
game  7: W 1-0     (us: win)  [5+2=0-]
game  8: B 1/2-1/2 (us: draw)  [5+3=0-]
game  9: W 1-0     (us: win)  [6+3=0-]
game 10: B 1/2-1/2 (us: draw)  [6+4=0-]
game 11: W 1-0     (us: win)  [7+4=0-]
game 12: B 1/2-1/2 (us: draw)  [7+5=0-]
game 13: W 0-1     (us: loss)  [7+5=1-]
game 14: B 0-1     (us: win)  [8+5=1-]
game 15: W 1/2-1/2 (us: draw)  [8+6=1-]
game 16: B 0-1     (us: win)  [9+6=1-]
game 17: W 1-0     (us: win)  [10+6=1-]
game 18: B 0-1     (us: win)  [11+6=1-]
game 19: W 1/2-1/2 (us: draw)  [11+7=1-]
game 20: B 0-1     (us: win)  [12+7=1-]
game 21: W 1/2-1/2 (us: draw)  [12+8=1-]
game 22: B 0-1     (us: win)  [13+8=1-]
game 23: W 1/2-1/2 (us: draw)  [13+9=1-]
game 24: B 0-1     (us: win)  [14+9=1-]
game 25: W 1-0     (us: win)  [15+9=1-]
game 26: B 0-1     (us: win)  [16+9=1-]
game 27: W 1-0     (us: win)  [17+9=1-]
game 28: B 0-1     (us: win)  [18+9=1-]
game 29: W 1-0     (us: win)  [19+9=1-]
game 30: B 1-0     (us: loss)  [19+9=2-]

result vs cmd:.venv/bin/python -m engine.uci: +19 =9 -2  (78%)
elo diff: +223  (95% ~ +97..+451)
