book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 1/2-1/2 (us: draw)  [0+1=1-]
game  3: W 0-1     (us: loss)  [0+1=2-]
game  4: B 1/2-1/2 (us: draw)  [0+2=2-]
game  5: W 0-1     (us: loss)  [0+2=3-]
game  6: B 0-1     (us: win)  [1+2=3-]
game  7: W 1/2-1/2 (us: draw)  [1+3=3-]
game  8: B 1-0     (us: loss)  [1+3=4-]
game  9: W 0-1     (us: loss)  [1+3=5-]
game 10: B 0-1     (us: win)  [2+3=5-]
game 11: W 1/2-1/2 (us: draw)  [2+4=5-]
game 12: B 1/2-1/2 (us: draw)  [2+5=5-]
game 13: W 1/2-1/2 (us: draw)  [2+6=5-]
game 14: B 0-1     (us: win)  [3+6=5-]
game 15: W 1-0     (us: win)  [4+6=5-]
game 16: B 0-1     (us: win)  [5+6=5-]
game 17: W 1/2-1/2 (us: draw)  [5+7=5-]
game 18: B 1-0     (us: loss)  [5+7=6-]
game 19: W 1-0     (us: win)  [6+7=6-]
game 20: B 1/2-1/2 (us: draw)  [6+8=6-]
game 21: W 1/2-1/2 (us: draw)  [6+9=6-]
game 22: B 1-0     (us: loss)  [6+9=7-]
game 23: W 1/2-1/2 (us: draw)  [6+10=7-]
game 24: B 1/2-1/2 (us: draw)  [6+11=7-]
game 25: W 1/2-1/2 (us: draw)  [6+12=7-]
game 26: B 1-0     (us: loss)  [6+12=8-]
game 27: W 0-1     (us: loss)  [6+12=9-]
game 28: B 0-1     (us: win)  [7+12=9-]
game 29: W 1-0     (us: win)  [8+12=9-]
game 30: B 1/2-1/2 (us: draw)  [8+13=9-]
game 31: W 1-0     (us: win)  [9+13=9-]
game 32: B 1-0     (us: loss)  [9+13=10-]
game 33: W 0-1     (us: loss)  [9+13=11-]
game 34: B 0-1     (us: win)  [10+13=11-]
game 35: W 1-0     (us: win)  [11+13=11-]
game 36: B 1-0     (us: loss)  [11+13=12-]
game 37: W 0-1     (us: loss)  [11+13=13-]
game 38: B 1-0     (us: loss)  [11+13=14-]
game 39: W 0-1     (us: loss)  [11+13=15-]
game 40: B 1/2-1/2 (us: draw)  [11+14=15-]
game 41: W 0-1     (us: loss)  [11+14=16-]
game 42: B 0-1     (us: win)  [12+14=16-]
game 43: W 1-0     (us: win)  [13+14=16-]
game 44: B 1-0     (us: loss)  [13+14=17-]
game 45: W 0-1     (us: loss)  [13+14=18-]
game 46: B 0-1     (us: win)  [14+14=18-]
game 47: W 1-0     (us: win)  [15+14=18-]
game 48: B 1-0     (us: loss)  [15+14=19-]
game 49: W 1/2-1/2 (us: draw)  [15+15=19-]
game 50: B 1/2-1/2 (us: draw)  [15+16=19-]
game 51: W 1-0     (us: win)  [16+16=19-]
game 52: B 1-0     (us: loss)  [16+16=20-]
game 53: W 0-1     (us: loss)  [16+16=21-]
game 54: B 0-1     (us: win)  [17+16=21-]
game 55: W 1/2-1/2 (us: draw)  [17+17=21-]
game 56: B 1/2-1/2 (us: draw)  [17+18=21-]
game 57: W 1/2-1/2 (us: draw)  [17+19=21-]
game 58: B 1/2-1/2 (us: draw)  [17+20=21-]
game 59: W 0-1     (us: loss)  [17+20=22-]
game 60: B 1/2-1/2 (us: draw)  [17+21=22-]

result vs cmd:.venv/bin/python -m engine.uci: +17 =21 -22  (46%)
elo diff: -29  (95% ~ -121..+59)
