book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 0-1     (us: win)  [1+0=1-]
game  3: W 0-1     (us: loss)  [1+0=2-]
game  4: B 0-1     (us: win)  [2+0=2-]
game  5: W 1/2-1/2 (us: draw)  [2+1=2-]
game  6: B 0-1     (us: win)  [3+1=2-]
game  7: W 0-1     (us: loss)  [3+1=3-]
game  8: B 1/2-1/2 (us: draw)  [3+2=3-]
game  9: W 1/2-1/2 (us: draw)  [3+3=3-]
game 10: B 0-1     (us: win)  [4+3=3-]
game 11: W 1-0     (us: win)  [5+3=3-]
game 12: B 1-0     (us: loss)  [5+3=4-]
game 13: W 1/2-1/2 (us: draw)  [5+4=4-]
game 14: B 1-0     (us: loss)  [5+4=5-]
game 15: W 1-0     (us: win)  [6+4=5-]
game 16: B 0-1     (us: win)  [7+4=5-]
game 17: W 1-0     (us: win)  [8+4=5-]
game 18: B 1-0     (us: loss)  [8+4=6-]
game 19: W 0-1     (us: loss)  [8+4=7-]
game 20: B 0-1     (us: win)  [9+4=7-]
game 21: W 1/2-1/2 (us: draw)  [9+5=7-]
game 22: B 1/2-1/2 (us: draw)  [9+6=7-]
game 23: W 1/2-1/2 (us: draw)  [9+7=7-]
game 24: B 1-0     (us: loss)  [9+7=8-]
game 25: W 0-1     (us: loss)  [9+7=9-]
game 26: B 1-0     (us: loss)  [9+7=10-]
game 27: W 1-0     (us: win)  [10+7=10-]
game 28: B 1-0     (us: loss)  [10+7=11-]
game 29: W 1-0     (us: win)  [11+7=11-]
game 30: B 1/2-1/2 (us: draw)  [11+8=11-]
game 31: W 1/2-1/2 (us: draw)  [11+9=11-]
game 32: B 0-1     (us: win)  [12+9=11-]
game 33: W 1-0     (us: win)  [13+9=11-]
game 34: B 1-0     (us: loss)  [13+9=12-]
game 35: W 0-1     (us: loss)  [13+9=13-]
game 36: B 1-0     (us: loss)  [13+9=14-]
game 37: W 0-1     (us: loss)  [13+9=15-]
game 38: B 1-0     (us: loss)  [13+9=16-]
game 39: W 1-0     (us: win)  [14+9=16-]
game 40: B 1-0     (us: loss)  [14+9=17-]
game 41: W 1-0     (us: win)  [15+9=17-]
game 42: B 1-0     (us: loss)  [15+9=18-]
game 43: W 0-1     (us: loss)  [15+9=19-]
game 44: B 0-1     (us: win)  [16+9=19-]
game 45: W 1/2-1/2 (us: draw)  [16+10=19-]
game 46: B 1-0     (us: loss)  [16+10=20-]
game 47: W 0-1     (us: loss)  [16+10=21-]
game 48: B 1/2-1/2 (us: draw)  [16+11=21-]
game 49: W 0-1     (us: loss)  [16+11=22-]
game 50: B 1-0     (us: loss)  [16+11=23-]
game 51: W 1/2-1/2 (us: draw)  [16+12=23-]
game 52: B 1/2-1/2 (us: draw)  [16+13=23-]
game 53: W 1/2-1/2 (us: draw)  [16+14=23-]
game 54: B 0-1     (us: win)  [17+14=23-]
game 55: W 0-1     (us: loss)  [17+14=24-]
game 56: B 0-1     (us: win)  [18+14=24-]
game 57: W 1/2-1/2 (us: draw)  [18+15=24-]
game 58: B 1-0     (us: loss)  [18+15=25-]
game 59: W 1/2-1/2 (us: draw)  [18+16=25-]
game 60: B 1-0     (us: loss)  [18+16=26-]

result vs cmd:.venv/bin/python -m engine.uci: +18 =16 -26  (43%)
elo diff: -47  (95% ~ -141..+41)
