book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1/2-1/2 (us: draw)  [0+1=0-]
game  2: B 1-0     (us: loss)  [0+1=1-]
game  3: W 1/2-1/2 (us: draw)  [0+2=1-]
game  4: B 0-1     (us: win)  [1+2=1-]
game  5: W 1-0     (us: win)  [2+2=1-]
game  6: B 1/2-1/2 (us: draw)  [2+3=1-]
game  7: W 1-0     (us: win)  [3+3=1-]
game  8: B 1/2-1/2 (us: draw)  [3+4=1-]
game  9: W 0-1     (us: loss)  [3+4=2-]
game 10: B 1/2-1/2 (us: draw)  [3+5=2-]
game 11: W 1-0     (us: win)  [4+5=2-]
game 12: B 0-1     (us: win)  [5+5=2-]
game 13: W 0-1     (us: loss)  [5+5=3-]
game 14: B 1/2-1/2 (us: draw)  [5+6=3-]
game 15: W 1/2-1/2 (us: draw)  [5+7=3-]
game 16: B 1-0     (us: loss)  [5+7=4-]
game 17: W 1-0     (us: win)  [6+7=4-]
game 18: B 1/2-1/2 (us: draw)  [6+8=4-]
game 19: W 1/2-1/2 (us: draw)  [6+9=4-]
game 20: B 1/2-1/2 (us: draw)  [6+10=4-]
game 21: W 1/2-1/2 (us: draw)  [6+11=4-]
game 22: B 1/2-1/2 (us: draw)  [6+12=4-]
game 23: W 1/2-1/2 (us: draw)  [6+13=4-]
game 24: B 1-0     (us: loss)  [6+13=5-]
game 25: W 0-1     (us: loss)  [6+13=6-]
game 26: B 1/2-1/2 (us: draw)  [6+14=6-]
game 27: W 1-0     (us: win)  [7+14=6-]
game 28: B 0-1     (us: win)  [8+14=6-]
game 29: W 1-0     (us: win)  [9+14=6-]
game 30: B 1/2-1/2 (us: draw)  [9+15=6-]
game 31: W 1/2-1/2 (us: draw)  [9+16=6-]
game 32: B 1/2-1/2 (us: draw)  [9+17=6-]
game 33: W 0-1     (us: loss)  [9+17=7-]
game 34: B 0-1     (us: win)  [10+17=7-]
game 35: W 1-0     (us: win)  [11+17=7-]
game 36: B 1/2-1/2 (us: draw)  [11+18=7-]
game 37: W 1-0     (us: win)  [12+18=7-]
game 38: B 0-1     (us: win)  [13+18=7-]
game 39: W 1-0     (us: win)  [14+18=7-]
game 40: B 1/2-1/2 (us: draw)  [14+19=7-]
game 41: W 1-0     (us: win)  [15+19=7-]
game 42: B 1-0     (us: loss)  [15+19=8-]
game 43: W 1/2-1/2 (us: draw)  [15+20=8-]
game 44: B 1/2-1/2 (us: draw)  [15+21=8-]
game 45: W 0-1     (us: loss)  [15+21=9-]
game 46: B 0-1     (us: win)  [16+21=9-]
game 47: W 1-0     (us: win)  [17+21=9-]
game 48: B 1/2-1/2 (us: draw)  [17+22=9-]
game 49: W 0-1     (us: loss)  [17+22=10-]
game 50: B 1/2-1/2 (us: draw)  [17+23=10-]
game 51: W 1/2-1/2 (us: draw)  [17+24=10-]
game 52: B 1/2-1/2 (us: draw)  [17+25=10-]
game 53: W 0-1     (us: loss)  [17+25=11-]
game 54: B 1/2-1/2 (us: draw)  [17+26=11-]
game 55: W 1/2-1/2 (us: draw)  [17+27=11-]
game 56: B 0-1     (us: win)  [18+27=11-]
game 57: W 0-1     (us: loss)  [18+27=12-]
game 58: B 1/2-1/2 (us: draw)  [18+28=12-]
game 59: W 1/2-1/2 (us: draw)  [18+29=12-]
game 60: B 1/2-1/2 (us: draw)  [18+30=12-]

result vs cmd:.venv/bin/python -m engine.uci: +18 =30 -12  (55%)
elo diff: +35  (95% ~ -53..+128)
