book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1-0     (us: loss)  [1+0=1-]
game  3: W 1-0     (us: win)  [2+0=1-]
game  4: B 1/2-1/2 (us: draw)  [2+1=1-]
game  5: W 0-1     (us: loss)  [2+1=2-]
game  6: B 0-1     (us: win)  [3+1=2-]
game  7: W 1-0     (us: win)  [4+1=2-]
game  8: B 1-0     (us: loss)  [4+1=3-]
game  9: W 0-1     (us: loss)  [4+1=4-]
game 10: B 1-0     (us: loss)  [4+1=5-]
game 11: W 0-1     (us: loss)  [4+1=6-]
game 12: B 1/2-1/2 (us: draw)  [4+2=6-]
game 13: W 1/2-1/2 (us: draw)  [4+3=6-]
game 14: B 1/2-1/2 (us: draw)  [4+4=6-]
game 15: W 0-1     (us: loss)  [4+4=7-]
game 16: B 1/2-1/2 (us: draw)  [4+5=7-]
game 17: W 1-0     (us: win)  [5+5=7-]
game 18: B 1-0     (us: loss)  [5+5=8-]
game 19: W 1-0     (us: win)  [6+5=8-]
game 20: B 1-0     (us: loss)  [6+5=9-]
game 21: W 1-0     (us: win)  [7+5=9-]
game 22: B 1-0     (us: loss)  [7+5=10-]
game 23: W 0-1     (us: loss)  [7+5=11-]
game 24: B 0-1     (us: win)  [8+5=11-]
game 25: W 1/2-1/2 (us: draw)  [8+6=11-]
game 26: B 1-0     (us: loss)  [8+6=12-]
game 27: W 1-0     (us: win)  [9+6=12-]
game 28: B 1-0     (us: loss)  [9+6=13-]
game 29: W 0-1     (us: loss)  [9+6=14-]
game 30: B 1/2-1/2 (us: draw)  [9+7=14-]
game 31: W 1-0     (us: win)  [10+7=14-]
game 32: B 1/2-1/2 (us: draw)  [10+8=14-]
game 33: W 0-1     (us: loss)  [10+8=15-]
game 34: B 1/2-1/2 (us: draw)  [10+9=15-]
game 35: W 0-1     (us: loss)  [10+9=16-]
game 36: B 0-1     (us: win)  [11+9=16-]
game 37: W 1/2-1/2 (us: draw)  [11+10=16-]
game 38: B 0-1     (us: win)  [12+10=16-]
game 39: W 0-1     (us: loss)  [12+10=17-]
game 40: B 1/2-1/2 (us: draw)  [12+11=17-]
game 41: W 0-1     (us: loss)  [12+11=18-]
game 42: B 0-1     (us: win)  [13+11=18-]
game 43: W 1/2-1/2 (us: draw)  [13+12=18-]
game 44: B 0-1     (us: win)  [14+12=18-]
game 45: W 1/2-1/2 (us: draw)  [14+13=18-]
game 46: B 0-1     (us: win)  [15+13=18-]
game 47: W 1/2-1/2 (us: draw)  [15+14=18-]
game 48: B 1/2-1/2 (us: draw)  [15+15=18-]
game 49: W 1/2-1/2 (us: draw)  [15+16=18-]
game 50: B 0-1     (us: win)  [16+16=18-]
game 51: W 1/2-1/2 (us: draw)  [16+17=18-]
game 52: B 1-0     (us: loss)  [16+17=19-]
game 53: W 1/2-1/2 (us: draw)  [16+18=19-]
game 54: B 1/2-1/2 (us: draw)  [16+19=19-]
game 55: W 1/2-1/2 (us: draw)  [16+20=19-]
game 56: B 1-0     (us: loss)  [16+20=20-]
game 57: W 1/2-1/2 (us: draw)  [16+21=20-]
game 58: B 0-1     (us: win)  [17+21=20-]
game 59: W 0-1     (us: loss)  [17+21=21-]
game 60: B 0-1     (us: win)  [18+21=21-]

result vs cmd:.venv/bin/python -m engine.uci: +18 =21 -21  (48%)
elo diff: -17  (95% ~ -109..+71)
