book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 0-1     (us: win)  [1+0=1-]
game  3: W 1-0     (us: win)  [2+0=1-]
game  4: B 1-0     (us: loss)  [2+0=2-]
game  5: W 1-0     (us: win)  [3+0=2-]
game  6: B 0-1     (us: win)  [4+0=2-]
game  7: W 1/2-1/2 (us: draw)  [4+1=2-]
game  8: B 1-0     (us: loss)  [4+1=3-]
game  9: W 1-0     (us: win)  [5+1=3-]
game 10: B 0-1     (us: win)  [6+1=3-]
game 11: W 1-0     (us: win)  [7+1=3-]
game 12: B 1/2-1/2 (us: draw)  [7+2=3-]
game 13: W 0-1     (us: loss)  [7+2=4-]
game 14: B 1-0     (us: loss)  [7+2=5-]
game 15: W 1/2-1/2 (us: draw)  [7+3=5-]
game 16: B 0-1     (us: win)  [8+3=5-]
game 17: W 1/2-1/2 (us: draw)  [8+4=5-]
game 18: B 1-0     (us: loss)  [8+4=6-]
game 19: W 0-1     (us: loss)  [8+4=7-]
game 20: B 1-0     (us: loss)  [8+4=8-]
game 21: W 1/2-1/2 (us: draw)  [8+5=8-]
game 22: B 0-1     (us: win)  [9+5=8-]
game 23: W 1-0     (us: win)  [10+5=8-]
game 24: B 1/2-1/2 (us: draw)  [10+6=8-]
game 25: W 1-0     (us: win)  [11+6=8-]
game 26: B 0-1     (us: win)  [12+6=8-]
game 27: W 0-1     (us: loss)  [12+6=9-]
game 28: B 0-1     (us: win)  [13+6=9-]
game 29: W 1-0     (us: win)  [14+6=9-]
game 30: B 1/2-1/2 (us: draw)  [14+7=9-]
game 31: W 0-1     (us: loss)  [14+7=10-]
game 32: B 1-0     (us: loss)  [14+7=11-]
game 33: W 1-0     (us: win)  [15+7=11-]
game 34: B 1/2-1/2 (us: draw)  [15+8=11-]
game 35: W 0-1     (us: loss)  [15+8=12-]
game 36: B 1/2-1/2 (us: draw)  [15+9=12-]
game 37: W 1-0     (us: win)  [16+9=12-]
game 38: B 1/2-1/2 (us: draw)  [16+10=12-]
game 39: W 1-0     (us: win)  [17+10=12-]
game 40: B 1-0     (us: loss)  [17+10=13-]
game 41: W 1-0     (us: win)  [18+10=13-]
game 42: B 1-0     (us: loss)  [18+10=14-]
game 43: W 1-0     (us: win)  [19+10=14-]
game 44: B 1-0     (us: loss)  [19+10=15-]
game 45: W 0-1     (us: loss)  [19+10=16-]
game 46: B 0-1     (us: win)  [20+10=16-]
game 47: W 1-0     (us: win)  [21+10=16-]
game 48: B 1-0     (us: loss)  [21+10=17-]
game 49: W 1/2-1/2 (us: draw)  [21+11=17-]
game 50: B 1/2-1/2 (us: draw)  [21+12=17-]
game 51: W 0-1     (us: loss)  [21+12=18-]
game 52: B 1/2-1/2 (us: draw)  [21+13=18-]
game 53: W 1/2-1/2 (us: draw)  [21+14=18-]
game 54: B 1/2-1/2 (us: draw)  [21+15=18-]
game 55: W 0-1     (us: loss)  [21+15=19-]
game 56: B 1-0     (us: loss)  [21+15=20-]
game 57: W 1/2-1/2 (us: draw)  [21+16=20-]
game 58: B 1/2-1/2 (us: draw)  [21+17=20-]
game 59: W 1-0     (us: win)  [22+17=20-]
game 60: B 1-0     (us: loss)  [22+17=21-]

result vs cmd:.venv/bin/python -m engine.uci: +22 =17 -21  (51%)
elo diff: +6  (95% ~ -84..+96)
