book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1/2-1/2 (us: draw)  [0+1=0-]
game  2: B 1-0     (us: loss)  [0+1=1-]
game  3: W 1-0     (us: win)  [1+1=1-]
game  4: B 1-0     (us: loss)  [1+1=2-]
game  5: W 1/2-1/2 (us: draw)  [1+2=2-]
game  6: B 1-0     (us: loss)  [1+2=3-]
game  7: W 0-1     (us: loss)  [1+2=4-]
game  8: B 0-1     (us: win)  [2+2=4-]
game  9: W 0-1     (us: loss)  [2+2=5-]
game 10: B 0-1     (us: win)  [3+2=5-]
game 11: W 0-1     (us: loss)  [3+2=6-]
game 12: B 0-1     (us: win)  [4+2=6-]
game 13: W 1-0     (us: win)  [5+2=6-]
game 14: B 1-0     (us: loss)  [5+2=7-]
game 15: W 1/2-1/2 (us: draw)  [5+3=7-]
game 16: B 1/2-1/2 (us: draw)  [5+4=7-]
game 17: W 1/2-1/2 (us: draw)  [5+5=7-]
game 18: B 1/2-1/2 (us: draw)  [5+6=7-]
game 19: W 1/2-1/2 (us: draw)  [5+7=7-]
game 20: B 0-1     (us: win)  [6+7=7-]
game 21: W 1/2-1/2 (us: draw)  [6+8=7-]
game 22: B 1/2-1/2 (us: draw)  [6+9=7-]
game 23: W 1-0     (us: win)  [7+9=7-]
game 24: B 1/2-1/2 (us: draw)  [7+10=7-]
game 25: W 0-1     (us: loss)  [7+10=8-]
game 26: B 1/2-1/2 (us: draw)  [7+11=8-]
game 27: W 1/2-1/2 (us: draw)  [7+12=8-]
game 28: B 0-1     (us: win)  [8+12=8-]
game 29: W 0-1     (us: loss)  [8+12=9-]
game 30: B 1-0     (us: loss)  [8+12=10-]
game 31: W 1-0     (us: win)  [9+12=10-]
game 32: B 1/2-1/2 (us: draw)  [9+13=10-]
game 33: W 1-0     (us: win)  [10+13=10-]
game 34: B 1-0     (us: loss)  [10+13=11-]
game 35: W 1-0     (us: win)  [11+13=11-]
game 36: B 0-1     (us: win)  [12+13=11-]
game 37: W 0-1     (us: loss)  [12+13=12-]
game 38: B 1/2-1/2 (us: draw)  [12+14=12-]
game 39: W 1/2-1/2 (us: draw)  [12+15=12-]
game 40: B 0-1     (us: win)  [13+15=12-]
game 41: W 1-0     (us: win)  [14+15=12-]
game 42: B 0-1     (us: win)  [15+15=12-]
game 43: W 1-0     (us: win)  [16+15=12-]
game 44: B 1-0     (us: loss)  [16+15=13-]
game 45: W 1-0     (us: win)  [17+15=13-]
game 46: B 1-0     (us: loss)  [17+15=14-]
game 47: W 0-1     (us: loss)  [17+15=15-]
game 48: B 1-0     (us: loss)  [17+15=16-]
game 49: W 1/2-1/2 (us: draw)  [17+16=16-]
game 50: B 1-0     (us: loss)  [17+16=17-]
game 51: W 1/2-1/2 (us: draw)  [17+17=17-]
game 52: B 1/2-1/2 (us: draw)  [17+18=17-]
game 53: W 1/2-1/2 (us: draw)  [17+19=17-]
game 54: B 1/2-1/2 (us: draw)  [17+20=17-]
game 55: W 1-0     (us: win)  [18+20=17-]
game 56: B 1-0     (us: loss)  [18+20=18-]
game 57: W 1-0     (us: win)  [19+20=18-]
game 58: B 1-0     (us: loss)  [19+20=19-]
game 59: W 1-0     (us: win)  [20+20=19-]
game 60: B 1/2-1/2 (us: draw)  [20+21=19-]

result vs cmd:.venv/bin/python -m engine.uci: +20 =21 -19  (51%)
elo diff: +6  (95% ~ -84..+96)
