book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1/2-1/2 (us: draw)  [1+1=0-]
game  3: W 1-0     (us: win)  [2+1=0-]
game  4: B 1/2-1/2 (us: draw)  [2+2=0-]
game  5: W 1-0     (us: win)  [3+2=0-]
game  6: B 1-0     (us: loss)  [3+2=1-]
game  7: W 1/2-1/2 (us: draw)  [3+3=1-]
game  8: B 0-1     (us: win)  [4+3=1-]
game  9: W 1/2-1/2 (us: draw)  [4+4=1-]
game 10: B 1-0     (us: loss)  [4+4=2-]
game 11: W 1-0     (us: win)  [5+4=2-]
game 12: B 1-0     (us: loss)  [5+4=3-]
game 13: W 0-1     (us: loss)  [5+4=4-]
game 14: B 0-1     (us: win)  [6+4=4-]
game 15: W 0-1     (us: loss)  [6+4=5-]
game 16: B 0-1     (us: win)  [7+4=5-]
game 17: W 1/2-1/2 (us: draw)  [7+5=5-]
game 18: B 0-1     (us: win)  [8+5=5-]
game 19: W 0-1     (us: loss)  [8+5=6-]
game 20: B 1-0     (us: loss)  [8+5=7-]
game 21: W 0-1     (us: loss)  [8+5=8-]
game 22: B 1-0     (us: loss)  [8+5=9-]
game 23: W 0-1     (us: loss)  [8+5=10-]
game 24: B 0-1     (us: win)  [9+5=10-]
game 25: W 0-1     (us: loss)  [9+5=11-]
game 26: B 1-0     (us: loss)  [9+5=12-]
game 27: W 0-1     (us: loss)  [9+5=13-]
game 28: B 1/2-1/2 (us: draw)  [9+6=13-]
game 29: W 0-1     (us: loss)  [9+6=14-]
game 30: B 1/2-1/2 (us: draw)  [9+7=14-]
game 31: W 1/2-1/2 (us: draw)  [9+8=14-]
game 32: B 1-0     (us: loss)  [9+8=15-]
game 33: W 0-1     (us: loss)  [9+8=16-]
game 34: B 1-0     (us: loss)  [9+8=17-]
game 35: W 1-0     (us: win)  [10+8=17-]
game 36: B 0-1     (us: win)  [11+8=17-]
game 37: W 1/2-1/2 (us: draw)  [11+9=17-]
game 38: B 1-0     (us: loss)  [11+9=18-]
game 39: W 1/2-1/2 (us: draw)  [11+10=18-]
game 40: B 1-0     (us: loss)  [11+10=19-]
game 41: W 1-0     (us: win)  [12+10=19-]
game 42: B 1/2-1/2 (us: draw)  [12+11=19-]
game 43: W 0-1     (us: loss)  [12+11=20-]
game 44: B 0-1     (us: win)  [13+11=20-]
game 45: W 0-1     (us: loss)  [13+11=21-]
game 46: B 1/2-1/2 (us: draw)  [13+12=21-]
game 47: W 0-1     (us: loss)  [13+12=22-]
game 48: B 0-1     (us: win)  [14+12=22-]
game 49: W 1-0     (us: win)  [15+12=22-]
game 50: B 1-0     (us: loss)  [15+12=23-]
game 51: W 1/2-1/2 (us: draw)  [15+13=23-]
game 52: B 0-1     (us: win)  [16+13=23-]
game 53: W 1/2-1/2 (us: draw)  [16+14=23-]
game 54: B 0-1     (us: win)  [17+14=23-]
game 55: W 0-1     (us: loss)  [17+14=24-]
game 56: B 0-1     (us: win)  [18+14=24-]
game 57: W 1-0     (us: win)  [19+14=24-]
game 58: B 0-1     (us: win)  [20+14=24-]
game 59: W 1-0     (us: win)  [21+14=24-]
game 60: B 0-1     (us: win)  [22+14=24-]

result vs cmd:.venv/bin/python -m engine.uci: +22 =14 -24  (48%)
elo diff: -12  (95% ~ -102..+78)
