book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 1-0     (us: loss)  [0+0=2-]
game  3: W 0-1     (us: loss)  [0+0=3-]
game  4: B 1/2-1/2 (us: draw)  [0+1=3-]
game  5: W 0-1     (us: loss)  [0+1=4-]
game  6: B 1/2-1/2 (us: draw)  [0+2=4-]
game  7: W 1/2-1/2 (us: draw)  [0+3=4-]
game  8: B 1-0     (us: loss)  [0+3=5-]
game  9: W 0-1     (us: loss)  [0+3=6-]
game 10: B 1/2-1/2 (us: draw)  [0+4=6-]
game 11: W 0-1     (us: loss)  [0+4=7-]
game 12: B 1/2-1/2 (us: draw)  [0+5=7-]
game 13: W 1/2-1/2 (us: draw)  [0+6=7-]
game 14: B 0-1     (us: win)  [1+6=7-]
game 15: W 1/2-1/2 (us: draw)  [1+7=7-]
game 16: B 0-1     (us: win)  [2+7=7-]
game 17: W 1/2-1/2 (us: draw)  [2+8=7-]
game 18: B 1-0     (us: loss)  [2+8=8-]
game 19: W 1/2-1/2 (us: draw)  [2+9=8-]
game 20: B 1/2-1/2 (us: draw)  [2+10=8-]
game 21: W 1-0     (us: win)  [3+10=8-]
game 22: B 1-0     (us: loss)  [3+10=9-]
game 23: W 1-0     (us: win)  [4+10=9-]
game 24: B 1/2-1/2 (us: draw)  [4+11=9-]
game 25: W 1-0     (us: win)  [5+11=9-]
game 26: B 1/2-1/2 (us: draw)  [5+12=9-]
game 27: W 1/2-1/2 (us: draw)  [5+13=9-]
game 28: B 0-1     (us: win)  [6+13=9-]
game 29: W 1-0     (us: win)  [7+13=9-]
game 30: B 1-0     (us: loss)  [7+13=10-]
game 31: W 1-0     (us: win)  [8+13=10-]
game 32: B 0-1     (us: win)  [9+13=10-]
game 33: W 0-1     (us: loss)  [9+13=11-]
game 34: B 1-0     (us: loss)  [9+13=12-]
game 35: W 1/2-1/2 (us: draw)  [9+14=12-]
game 36: B 1/2-1/2 (us: draw)  [9+15=12-]
game 37: W 0-1     (us: loss)  [9+15=13-]
game 38: B 1/2-1/2 (us: draw)  [9+16=13-]
game 39: W 1-0     (us: win)  [10+16=13-]
game 40: B 1-0     (us: loss)  [10+16=14-]
game 41: W 0-1     (us: loss)  [10+16=15-]
game 42: B 1/2-1/2 (us: draw)  [10+17=15-]
game 43: W 1/2-1/2 (us: draw)  [10+18=15-]
game 44: B 1-0     (us: loss)  [10+18=16-]
game 45: W 1-0     (us: win)  [11+18=16-]
game 46: B 0-1     (us: win)  [12+18=16-]
game 47: W 0-1     (us: loss)  [12+18=17-]
game 48: B 1/2-1/2 (us: draw)  [12+19=17-]
game 49: W 0-1     (us: loss)  [12+19=18-]
game 50: B 1-0     (us: loss)  [12+19=19-]
game 51: W 1-0     (us: win)  [13+19=19-]
game 52: B 1/2-1/2 (us: draw)  [13+20=19-]
game 53: W 1-0     (us: win)  [14+20=19-]
game 54: B 1-0     (us: loss)  [14+20=20-]
game 55: W 1/2-1/2 (us: draw)  [14+21=20-]
game 56: B 1/2-1/2 (us: draw)  [14+22=20-]
game 57: W 0-1     (us: loss)  [14+22=21-]
game 58: B 0-1     (us: win)  [15+22=21-]
game 59: W 0-1     (us: loss)  [15+22=22-]
game 60: B 1-0     (us: loss)  [15+22=23-]

result vs cmd:.venv/bin/python -m engine.uci: +15 =22 -23  (43%)
elo diff: -47  (95% ~ -141..+41)
