book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1/2-1/2 (us: draw)  [0+1=0-]
game  2: B 0-1     (us: win)  [1+1=0-]
game  3: W 1-0     (us: win)  [2+1=0-]
game  4: B 1/2-1/2 (us: draw)  [2+2=0-]
game  5: W 0-1     (us: loss)  [2+2=1-]
game  6: B 1-0     (us: loss)  [2+2=2-]
game  7: W 1/2-1/2 (us: draw)  [2+3=2-]
game  8: B 1-0     (us: loss)  [2+3=3-]
game  9: W 1/2-1/2 (us: draw)  [2+4=3-]
game 10: B 1/2-1/2 (us: draw)  [2+5=3-]
game 11: W 1-0     (us: win)  [3+5=3-]
game 12: B 1/2-1/2 (us: draw)  [3+6=3-]
game 13: W 0-1     (us: loss)  [3+6=4-]
game 14: B 0-1     (us: win)  [4+6=4-]
game 15: W 1/2-1/2 (us: draw)  [4+7=4-]
game 16: B 1/2-1/2 (us: draw)  [4+8=4-]
game 17: W 1/2-1/2 (us: draw)  [4+9=4-]
game 18: B 1-0     (us: loss)  [4+9=5-]
game 19: W 0-1     (us: loss)  [4+9=6-]
game 20: B 0-1     (us: win)  [5+9=6-]
game 21: W 1/2-1/2 (us: draw)  [5+10=6-]
game 22: B 1-0     (us: loss)  [5+10=7-]
game 23: W 1-0     (us: win)  [6+10=7-]
game 24: B 0-1     (us: win)  [7+10=7-]
game 25: W 1/2-1/2 (us: draw)  [7+11=7-]
game 26: B 1/2-1/2 (us: draw)  [7+12=7-]
game 27: W 0-1     (us: loss)  [7+12=8-]
game 28: B 0-1     (us: win)  [8+12=8-]
game 29: W 0-1     (us: loss)  [8+12=9-]
game 30: B 0-1     (us: win)  [9+12=9-]
game 31: W 1-0     (us: win)  [10+12=9-]
game 32: B 1/2-1/2 (us: draw)  [10+13=9-]
game 33: W 1/2-1/2 (us: draw)  [10+14=9-]
game 34: B 1-0     (us: loss)  [10+14=10-]
game 35: W 1-0     (us: win)  [11+14=10-]
game 36: B 1-0     (us: loss)  [11+14=11-]
game 37: W 1-0     (us: win)  [12+14=11-]
game 38: B 0-1     (us: win)  [13+14=11-]
game 39: W 1/2-1/2 (us: draw)  [13+15=11-]
game 40: B 1/2-1/2 (us: draw)  [13+16=11-]
game 41: W 1/2-1/2 (us: draw)  [13+17=11-]
game 42: B 0-1     (us: win)  [14+17=11-]
game 43: W 0-1     (us: loss)  [14+17=12-]
game 44: B 0-1     (us: win)  [15+17=12-]
game 45: W 0-1     (us: loss)  [15+17=13-]
game 46: B 1/2-1/2 (us: draw)  [15+18=13-]
game 47: W 0-1     (us: loss)  [15+18=14-]
game 48: B 1-0     (us: loss)  [15+18=15-]
game 49: W 0-1     (us: loss)  [15+18=16-]
game 50: B 1/2-1/2 (us: draw)  [15+19=16-]
game 51: W 1/2-1/2 (us: draw)  [15+20=16-]
game 52: B 1/2-1/2 (us: draw)  [15+21=16-]
game 53: W 1/2-1/2 (us: draw)  [15+22=16-]
game 54: B 0-1     (us: win)  [16+22=16-]
game 55: W 1/2-1/2 (us: draw)  [16+23=16-]
game 56: B 1/2-1/2 (us: draw)  [16+24=16-]
game 57: W 1-0     (us: win)  [17+24=16-]
game 58: B 1-0     (us: loss)  [17+24=17-]
game 59: W 0-1     (us: loss)  [17+24=18-]
game 60: B 0-1     (us: win)  [18+24=18-]

result vs cmd:.venv/bin/python -m engine.uci: +18 =24 -18  (50%)
elo diff: -0  (95% ~ -90..+90)
