book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1-0     (us: loss)  [1+0=1-]
game  3: W 1/2-1/2 (us: draw)  [1+1=1-]
game  4: B 1-0     (us: loss)  [1+1=2-]
game  5: W 1-0     (us: win)  [2+1=2-]
game  6: B 0-1     (us: win)  [3+1=2-]
game  7: W 0-1     (us: loss)  [3+1=3-]
game  8: B 0-1     (us: win)  [4+1=3-]
game  9: W 0-1     (us: loss)  [4+1=4-]
game 10: B 0-1     (us: win)  [5+1=4-]
game 11: W 0-1     (us: loss)  [5+1=5-]
game 12: B 1/2-1/2 (us: draw)  [5+2=5-]
game 13: W 0-1     (us: loss)  [5+2=6-]
game 14: B 1/2-1/2 (us: draw)  [5+3=6-]
game 15: W 0-1     (us: loss)  [5+3=7-]
game 16: B 0-1     (us: win)  [6+3=7-]
game 17: W 0-1     (us: loss)  [6+3=8-]
game 18: B 1/2-1/2 (us: draw)  [6+4=8-]
game 19: W 1-0     (us: win)  [7+4=8-]
game 20: B 1-0     (us: loss)  [7+4=9-]
game 21: W 1-0     (us: win)  [8+4=9-]
game 22: B 0-1     (us: win)  [9+4=9-]
game 23: W 1/2-1/2 (us: draw)  [9+5=9-]
game 24: B 1/2-1/2 (us: draw)  [9+6=9-]
game 25: W 1-0     (us: win)  [10+6=9-]
game 26: B 1/2-1/2 (us: draw)  [10+7=9-]
game 27: W 1-0     (us: win)  [11+7=9-]
game 28: B 1/2-1/2 (us: draw)  [11+8=9-]
game 29: W 1-0     (us: win)  [12+8=9-]
game 30: B 1/2-1/2 (us: draw)  [12+9=9-]
game 31: W 0-1     (us: loss)  [12+9=10-]
game 32: B 0-1     (us: win)  [13+9=10-]
game 33: W 1-0     (us: win)  [14+9=10-]
game 34: B 1-0     (us: loss)  [14+9=11-]
game 35: W 1-0     (us: win)  [15+9=11-]
game 36: B 1-0     (us: loss)  [15+9=12-]
game 37: W 1/2-1/2 (us: draw)  [15+10=12-]
game 38: B 1/2-1/2 (us: draw)  [15+11=12-]
game 39: W 1/2-1/2 (us: draw)  [15+12=12-]
game 40: B 0-1     (us: win)  [16+12=12-]
game 41: W 1/2-1/2 (us: draw)  [16+13=12-]
game 42: B 0-1     (us: win)  [17+13=12-]
game 43: W 1-0     (us: win)  [18+13=12-]
game 44: B 1/2-1/2 (us: draw)  [18+14=12-]
game 45: W 1/2-1/2 (us: draw)  [18+15=12-]
game 46: B 0-1     (us: win)  [19+15=12-]
game 47: W 0-1     (us: loss)  [19+15=13-]
game 48: B 0-1     (us: win)  [20+15=13-]
game 49: W 1/2-1/2 (us: draw)  [20+16=13-]
game 50: B 0-1     (us: win)  [21+16=13-]
game 51: W 1-0     (us: win)  [22+16=13-]
game 52: B 1-0     (us: loss)  [22+16=14-]
game 53: W 1-0     (us: win)  [23+16=14-]
game 54: B 0-1     (us: win)  [24+16=14-]
game 55: W 1/2-1/2 (us: draw)  [24+17=14-]
game 56: B 0-1     (us: win)  [25+17=14-]
game 57: W 1/2-1/2 (us: draw)  [25+18=14-]
game 58: B 1-0     (us: loss)  [25+18=15-]
game 59: W 1/2-1/2 (us: draw)  [25+19=15-]
game 60: B 1-0     (us: loss)  [25+19=16-]

result vs cmd:.venv/bin/python -m engine.uci: +25 =19 -16  (58%)
elo diff: +53  (95% ~ -35..+147)
