book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1/2-1/2 (us: draw)  [1+1=0-]
game  3: W 1-0     (us: win)  [2+1=0-]
game  4: B 0-1     (us: win)  [3+1=0-]
game  5: W 1-0     (us: win)  [4+1=0-]
game  6: B 0-1     (us: win)  [5+1=0-]
game  7: W 1-0     (us: win)  [6+1=0-]
game  8: B 1-0     (us: loss)  [6+1=1-]
game  9: W 1/2-1/2 (us: draw)  [6+2=1-]
game 10: B 1-0     (us: loss)  [6+2=2-]
game 11: W 1/2-1/2 (us: draw)  [6+3=2-]
game 12: B 1/2-1/2 (us: draw)  [6+4=2-]
game 13: W 1/2-1/2 (us: draw)  [6+5=2-]
game 14: B 1/2-1/2 (us: draw)  [6+6=2-]
game 15: W 1/2-1/2 (us: draw)  [6+7=2-]
game 16: B 1/2-1/2 (us: draw)  [6+8=2-]
game 17: W 1-0     (us: win)  [7+8=2-]
game 18: B 1-0     (us: loss)  [7+8=3-]
game 19: W 0-1     (us: loss)  [7+8=4-]
game 20: B 0-1     (us: win)  [8+8=4-]
game 21: W 1-0     (us: win)  [9+8=4-]
game 22: B 0-1     (us: win)  [10+8=4-]
game 23: W 0-1     (us: loss)  [10+8=5-]
game 24: B 1-0     (us: loss)  [10+8=6-]
game 25: W 1-0     (us: win)  [11+8=6-]
game 26: B 1/2-1/2 (us: draw)  [11+9=6-]
game 27: W 1-0     (us: win)  [12+9=6-]
game 28: B 0-1     (us: win)  [13+9=6-]
game 29: W 1-0     (us: win)  [14+9=6-]
game 30: B 1/2-1/2 (us: draw)  [14+10=6-]
game 31: W 1-0     (us: win)  [15+10=6-]
game 32: B 1-0     (us: loss)  [15+10=7-]
game 33: W 1-0     (us: win)  [16+10=7-]
game 34: B 1/2-1/2 (us: draw)  [16+11=7-]
game 35: W 0-1     (us: loss)  [16+11=8-]
game 36: B 0-1     (us: win)  [17+11=8-]
game 37: W 1/2-1/2 (us: draw)  [17+12=8-]
game 38: B 0-1     (us: win)  [18+12=8-]
game 39: W 0-1     (us: loss)  [18+12=9-]
game 40: B 0-1     (us: win)  [19+12=9-]
game 41: W 1-0     (us: win)  [20+12=9-]
game 42: B 1-0     (us: loss)  [20+12=10-]
game 43: W 1/2-1/2 (us: draw)  [20+13=10-]
game 44: B 1/2-1/2 (us: draw)  [20+14=10-]
game 45: W 0-1     (us: loss)  [20+14=11-]
game 46: B 1-0     (us: loss)  [20+14=12-]
game 47: W 1/2-1/2 (us: draw)  [20+15=12-]
game 48: B 1-0     (us: loss)  [20+15=13-]
game 49: W 1/2-1/2 (us: draw)  [20+16=13-]
game 50: B 1-0     (us: loss)  [20+16=14-]
game 51: W 0-1     (us: loss)  [20+16=15-]
game 52: B 0-1     (us: win)  [21+16=15-]
game 53: W 0-1     (us: loss)  [21+16=16-]
game 54: B 0-1     (us: win)  [22+16=16-]
game 55: W 1-0     (us: win)  [23+16=16-]
game 56: B 0-1     (us: win)  [24+16=16-]
game 57: W 1-0     (us: win)  [25+16=16-]
game 58: B 1/2-1/2 (us: draw)  [25+17=16-]
game 59: W 0-1     (us: loss)  [25+17=17-]
game 60: B 1-0     (us: loss)  [25+17=18-]

result vs cmd:.venv/bin/python -m engine.uci: +25 =17 -18  (56%)
elo diff: +41  (95% ~ -47..+134)
