book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 1-0     (us: win)  [3+0=0-]
game  4: B 1-0     (us: loss)  [3+0=1-]
game  5: W 1-0     (us: win)  [4+0=1-]
game  6: B 1/2-1/2 (us: draw)  [4+1=1-]
game  7: W 1/2-1/2 (us: draw)  [4+2=1-]
game  8: B 1-0     (us: loss)  [4+2=2-]
game  9: W 0-1     (us: loss)  [4+2=3-]
game 10: B 0-1     (us: win)  [5+2=3-]
game 11: W 1-0     (us: win)  [6+2=3-]
game 12: B 1/2-1/2 (us: draw)  [6+3=3-]
game 13: W 1-0     (us: win)  [7+3=3-]
game 14: B 1/2-1/2 (us: draw)  [7+4=3-]
game 15: W 1-0     (us: win)  [8+4=3-]
game 16: B 0-1     (us: win)  [9+4=3-]
game 17: W 1-0     (us: win)  [10+4=3-]
game 18: B 1-0     (us: loss)  [10+4=4-]
game 19: W 0-1     (us: loss)  [10+4=5-]
game 20: B 0-1     (us: win)  [11+4=5-]
game 21: W 1-0     (us: win)  [12+4=5-]
game 22: B 1-0     (us: loss)  [12+4=6-]
game 23: W 0-1     (us: loss)  [12+4=7-]
game 24: B 1-0     (us: loss)  [12+4=8-]
game 25: W 1-0     (us: win)  [13+4=8-]
game 26: B 0-1     (us: win)  [14+4=8-]
game 27: W 1-0     (us: win)  [15+4=8-]
game 28: B 0-1     (us: win)  [16+4=8-]
game 29: W 1/2-1/2 (us: draw)  [16+5=8-]
game 30: B 1/2-1/2 (us: draw)  [16+6=8-]
game 31: W 1-0     (us: win)  [17+6=8-]
game 32: B 1-0     (us: loss)  [17+6=9-]
game 33: W 1/2-1/2 (us: draw)  [17+7=9-]
game 34: B 1/2-1/2 (us: draw)  [17+8=9-]
game 35: W 1-0     (us: win)  [18+8=9-]
game 36: B 1/2-1/2 (us: draw)  [18+9=9-]
game 37: W 1/2-1/2 (us: draw)  [18+10=9-]
game 38: B 1/2-1/2 (us: draw)  [18+11=9-]
game 39: W 1-0     (us: win)  [19+11=9-]
game 40: B 1-0     (us: loss)  [19+11=10-]
game 41: W 0-1     (us: loss)  [19+11=11-]
game 42: B 1/2-1/2 (us: draw)  [19+12=11-]
game 43: W 1/2-1/2 (us: draw)  [19+13=11-]
game 44: B 0-1     (us: win)  [20+13=11-]
game 45: W 0-1     (us: loss)  [20+13=12-]
game 46: B 1/2-1/2 (us: draw)  [20+14=12-]
game 47: W 0-1     (us: loss)  [20+14=13-]
game 48: B 1-0     (us: loss)  [20+14=14-]
game 49: W 1-0     (us: win)  [21+14=14-]
game 50: B 0-1     (us: win)  [22+14=14-]
game 51: W 0-1     (us: loss)  [22+14=15-]
game 52: B 1-0     (us: loss)  [22+14=16-]
game 53: W 1-0     (us: win)  [23+14=16-]
game 54: B 1-0     (us: loss)  [23+14=17-]
game 55: W 1-0     (us: win)  [24+14=17-]
game 56: B 1-0     (us: loss)  [24+14=18-]
game 57: W 0-1     (us: loss)  [24+14=19-]
game 58: B 1/2-1/2 (us: draw)  [24+15=19-]
game 59: W 0-1     (us: loss)  [24+15=20-]
game 60: B 0-1     (us: win)  [25+15=20-]

result vs cmd:.venv/bin/python -m engine.uci: +25 =15 -20  (54%)
elo diff: +29  (95% ~ -59..+121)
