book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1-0     (us: loss)  [1+0=1-]
game  3: W 0-1     (us: loss)  [1+0=2-]
game  4: B 1/2-1/2 (us: draw)  [1+1=2-]
game  5: W 1/2-1/2 (us: draw)  [1+2=2-]
game  6: B 1-0     (us: loss)  [1+2=3-]
game  7: W 1/2-1/2 (us: draw)  [1+3=3-]
game  8: B 0-1     (us: win)  [2+3=3-]
game  9: W 1/2-1/2 (us: draw)  [2+4=3-]
game 10: B 0-1     (us: win)  [3+4=3-]
game 11: W 0-1     (us: loss)  [3+4=4-]
game 12: B 1/2-1/2 (us: draw)  [3+5=4-]
game 13: W 1-0     (us: win)  [4+5=4-]
game 14: B 1/2-1/2 (us: draw)  [4+6=4-]
game 15: W 1/2-1/2 (us: draw)  [4+7=4-]
game 16: B 1/2-1/2 (us: draw)  [4+8=4-]
game 17: W 0-1     (us: loss)  [4+8=5-]
game 18: B 0-1     (us: win)  [5+8=5-]
game 19: W 1-0     (us: win)  [6+8=5-]
game 20: B 1/2-1/2 (us: draw)  [6+9=5-]
game 21: W 0-1     (us: loss)  [6+9=6-]
game 22: B 1-0     (us: loss)  [6+9=7-]
game 23: W 1-0     (us: win)  [7+9=7-]
game 24: B 1/2-1/2 (us: draw)  [7+10=7-]
game 25: W 1/2-1/2 (us: draw)  [7+11=7-]
game 26: B 1-0     (us: loss)  [7+11=8-]
game 27: W 1/2-1/2 (us: draw)  [7+12=8-]
game 28: B 1/2-1/2 (us: draw)  [7+13=8-]
game 29: W 0-1     (us: loss)  [7+13=9-]
game 30: B 1/2-1/2 (us: draw)  [7+14=9-]
game 31: W 1/2-1/2 (us: draw)  [7+15=9-]
game 32: B 1/2-1/2 (us: draw)  [7+16=9-]
game 33: W 1-0     (us: win)  [8+16=9-]
game 34: B 0-1     (us: win)  [9+16=9-]
game 35: W 1-0     (us: win)  [10+16=9-]
game 36: B 0-1     (us: win)  [11+16=9-]
game 37: W 1/2-1/2 (us: draw)  [11+17=9-]
game 38: B 0-1     (us: win)  [12+17=9-]
game 39: W 1-0     (us: win)  [13+17=9-]
game 40: B 1-0     (us: loss)  [13+17=10-]
game 41: W 0-1     (us: loss)  [13+17=11-]
game 42: B 0-1     (us: win)  [14+17=11-]
game 43: W 0-1     (us: loss)  [14+17=12-]
game 44: B 1-0     (us: loss)  [14+17=13-]
game 45: W 1/2-1/2 (us: draw)  [14+18=13-]
game 46: B 1/2-1/2 (us: draw)  [14+19=13-]
game 47: W 1/2-1/2 (us: draw)  [14+20=13-]
game 48: B 0-1     (us: win)  [15+20=13-]
game 49: W 0-1     (us: loss)  [15+20=14-]
game 50: B 1-0     (us: loss)  [15+20=15-]
game 51: W 0-1     (us: loss)  [15+20=16-]
game 52: B 1-0     (us: loss)  [15+20=17-]
game 53: W 1-0     (us: win)  [16+20=17-]
game 54: B 1-0     (us: loss)  [16+20=18-]
game 55: W 0-1     (us: loss)  [16+20=19-]
game 56: B 1/2-1/2 (us: draw)  [16+21=19-]
game 57: W 1-0     (us: win)  [17+21=19-]
game 58: B 1-0     (us: loss)  [17+21=20-]
game 59: W 1/2-1/2 (us: draw)  [17+22=20-]
game 60: B 1/2-1/2 (us: draw)  [17+23=20-]

result vs cmd:.venv/bin/python -m engine.uci: +17 =23 -20  (48%)
elo diff: -17  (95% ~ -109..+71)
