book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1/2-1/2 (us: draw)  [0+1=0-]
game  2: B 0-1     (us: win)  [1+1=0-]
game  3: W 1-0     (us: win)  [2+1=0-]
game  4: B 0-1     (us: win)  [3+1=0-]
game  5: W 0-1     (us: loss)  [3+1=1-]
game  6: B 0-1     (us: win)  [4+1=1-]
game  7: W 1-0     (us: win)  [5+1=1-]
game  8: B 1-0     (us: loss)  [5+1=2-]
game  9: W 0-1     (us: loss)  [5+1=3-]
game 10: B 1-0     (us: loss)  [5+1=4-]
game 11: W 0-1     (us: loss)  [5+1=5-]
game 12: B 1-0     (us: loss)  [5+1=6-]
game 13: W 1/2-1/2 (us: draw)  [5+2=6-]
game 14: B 0-1     (us: win)  [6+2=6-]
game 15: W 1-0     (us: win)  [7+2=6-]
game 16: B 1/2-1/2 (us: draw)  [7+3=6-]
game 17: W 0-1     (us: loss)  [7+3=7-]
game 18: B 1/2-1/2 (us: draw)  [7+4=7-]
game 19: W 1/2-1/2 (us: draw)  [7+5=7-]
game 20: B 1/2-1/2 (us: draw)  [7+6=7-]
game 21: W 1-0     (us: win)  [8+6=7-]
game 22: B 1-0     (us: loss)  [8+6=8-]
game 23: W 0-1     (us: loss)  [8+6=9-]
game 24: B 0-1     (us: win)  [9+6=9-]
game 25: W 1-0     (us: win)  [10+6=9-]
game 26: B 1-0     (us: loss)  [10+6=10-]
game 27: W 1-0     (us: win)  [11+6=10-]
game 28: B 1-0     (us: loss)  [11+6=11-]
game 29: W 1-0     (us: win)  [12+6=11-]
game 30: B 0-1     (us: win)  [13+6=11-]
game 31: W 0-1     (us: loss)  [13+6=12-]
game 32: B 1/2-1/2 (us: draw)  [13+7=12-]
game 33: W 1-0     (us: win)  [14+7=12-]
game 34: B 0-1     (us: win)  [15+7=12-]
game 35: W 1/2-1/2 (us: draw)  [15+8=12-]
game 36: B 0-1     (us: win)  [16+8=12-]
game 37: W 0-1     (us: loss)  [16+8=13-]
game 38: B 0-1     (us: win)  [17+8=13-]
game 39: W 1/2-1/2 (us: draw)  [17+9=13-]
game 40: B 1-0     (us: loss)  [17+9=14-]
game 41: W 1-0     (us: win)  [18+9=14-]
game 42: B 1-0     (us: loss)  [18+9=15-]
game 43: W 1/2-1/2 (us: draw)  [18+10=15-]
game 44: B 0-1     (us: win)  [19+10=15-]
game 45: W 0-1     (us: loss)  [19+10=16-]
game 46: B 1-0     (us: loss)  [19+10=17-]
game 47: W 0-1     (us: loss)  [19+10=18-]
game 48: B 0-1     (us: win)  [20+10=18-]
game 49: W 1/2-1/2 (us: draw)  [20+11=18-]
game 50: B 1/2-1/2 (us: draw)  [20+12=18-]
game 51: W 1-0     (us: win)  [21+12=18-]
game 52: B 1/2-1/2 (us: draw)  [21+13=18-]
game 53: W 1/2-1/2 (us: draw)  [21+14=18-]
game 54: B 0-1     (us: win)  [22+14=18-]
game 55: W 1-0     (us: win)  [23+14=18-]
game 56: B 1-0     (us: loss)  [23+14=19-]
game 57: W 1-0     (us: win)  [24+14=19-]
game 58: B 1/2-1/2 (us: draw)  [24+15=19-]
game 59: W 1-0     (us: win)  [25+15=19-]
game 60: B 1/2-1/2 (us: draw)  [25+16=19-]

result vs cmd:.venv/bin/python -m engine.uci: +25 =16 -19  (55%)
elo diff: +35  (95% ~ -53..+128)
