book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1-0     (us: loss)  [1+0=1-]
game  3: W 1-0     (us: win)  [2+0=1-]
game  4: B 0-1     (us: win)  [3+0=1-]
game  5: W 1/2-1/2 (us: draw)  [3+1=1-]
game  6: B 0-1     (us: win)  [4+1=1-]
game  7: W 0-1     (us: loss)  [4+1=2-]
game  8: B 1/2-1/2 (us: draw)  [4+2=2-]
game  9: W 1-0     (us: win)  [5+2=2-]
game 10: B 0-1     (us: win)  [6+2=2-]
game 11: W 1/2-1/2 (us: draw)  [6+3=2-]
game 12: B 1/2-1/2 (us: draw)  [6+4=2-]
game 13: W 0-1     (us: loss)  [6+4=3-]
game 14: B 0-1     (us: win)  [7+4=3-]
game 15: W 1-0     (us: win)  [8+4=3-]
game 16: B 0-1     (us: win)  [9+4=3-]
game 17: W 1-0     (us: win)  [10+4=3-]
game 18: B 1-0     (us: loss)  [10+4=4-]
game 19: W 1-0     (us: win)  [11+4=4-]
game 20: B 0-1     (us: win)  [12+4=4-]
game 21: W 1/2-1/2 (us: draw)  [12+5=4-]
game 22: B 1-0     (us: loss)  [12+5=5-]
game 23: W 1/2-1/2 (us: draw)  [12+6=5-]
game 24: B 1-0     (us: loss)  [12+6=6-]
game 25: W 1-0     (us: win)  [13+6=6-]
game 26: B 1-0     (us: loss)  [13+6=7-]
game 27: W 0-1     (us: loss)  [13+6=8-]
game 28: B 0-1     (us: win)  [14+6=8-]
game 29: W 1/2-1/2 (us: draw)  [14+7=8-]
game 30: B 0-1     (us: win)  [15+7=8-]
game 31: W 1-0     (us: win)  [16+7=8-]
game 32: B 1/2-1/2 (us: draw)  [16+8=8-]
game 33: W 1/2-1/2 (us: draw)  [16+9=8-]
game 34: B 1/2-1/2 (us: draw)  [16+10=8-]
game 35: W 1/2-1/2 (us: draw)  [16+11=8-]
game 36: B 1-0     (us: loss)  [16+11=9-]
game 37: W 0-1     (us: loss)  [16+11=10-]
game 38: B 1/2-1/2 (us: draw)  [16+12=10-]
game 39: W 1-0     (us: win)  [17+12=10-]
game 40: B 1-0     (us: loss)  [17+12=11-]
game 41: W 1/2-1/2 (us: draw)  [17+13=11-]
game 42: B 1/2-1/2 (us: draw)  [17+14=11-]
game 43: W 0-1     (us: loss)  [17+14=12-]
game 44: B 1/2-1/2 (us: draw)  [17+15=12-]
game 45: W 0-1     (us: loss)  [17+15=13-]
game 46: B 1-0     (us: loss)  [17+15=14-]
game 47: W 1-0     (us: win)  [18+15=14-]
game 48: B 0-1     (us: win)  [19+15=14-]
game 49: W 0-1     (us: loss)  [19+15=15-]
game 50: B 1/2-1/2 (us: draw)  [19+16=15-]
game 51: W 1-0     (us: win)  [20+16=15-]
game 52: B 1/2-1/2 (us: draw)  [20+17=15-]
game 53: W 0-1     (us: loss)  [20+17=16-]
game 54: B 1-0     (us: loss)  [20+17=17-]
game 55: W 0-1     (us: loss)  [20+17=18-]
game 56: B 1/2-1/2 (us: draw)  [20+18=18-]
game 57: W 0-1     (us: loss)  [20+18=19-]
game 58: B 0-1     (us: win)  [21+18=19-]
game 59: W 1-0     (us: win)  [22+18=19-]
game 60: B 1-0     (us: loss)  [22+18=20-]

result vs cmd:.venv/bin/python -m engine.uci: +22 =18 -20  (52%)
elo diff: +12  (95% ~ -78..+102)
