book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 0-1     (us: win)  [1+0=1-]
game  3: W 1-0     (us: win)  [2+0=1-]
game  4: B 1-0     (us: loss)  [2+0=2-]
game  5: W 0-1     (us: loss)  [2+0=3-]
game  6: B 0-1     (us: win)  [3+0=3-]
game  7: W 1/2-1/2 (us: draw)  [3+1=3-]
game  8: B 1/2-1/2 (us: draw)  [3+2=3-]
game  9: W 1-0     (us: win)  [4+2=3-]
game 10: B 1-0     (us: loss)  [4+2=4-]
game 11: W 1/2-1/2 (us: draw)  [4+3=4-]
game 12: B 0-1     (us: win)  [5+3=4-]
game 13: W 1/2-1/2 (us: draw)  [5+4=4-]
game 14: B 1-0     (us: loss)  [5+4=5-]
game 15: W 0-1     (us: loss)  [5+4=6-]
game 16: B 0-1     (us: win)  [6+4=6-]
game 17: W 1-0     (us: win)  [7+4=6-]
game 18: B 1/2-1/2 (us: draw)  [7+5=6-]
game 19: W 1/2-1/2 (us: draw)  [7+6=6-]
game 20: B 1/2-1/2 (us: draw)  [7+7=6-]
game 21: W 1/2-1/2 (us: draw)  [7+8=6-]
game 22: B 1/2-1/2 (us: draw)  [7+9=6-]
game 23: W 1/2-1/2 (us: draw)  [7+10=6-]
game 24: B 1/2-1/2 (us: draw)  [7+11=6-]
game 25: W 1-0     (us: win)  [8+11=6-]
game 26: B 1-0     (us: loss)  [8+11=7-]
game 27: W 1-0     (us: win)  [9+11=7-]
game 28: B 1-0     (us: loss)  [9+11=8-]
game 29: W 1-0     (us: win)  [10+11=8-]
game 30: B 1-0     (us: loss)  [10+11=9-]
game 31: W 1-0     (us: win)  [11+11=9-]
game 32: B 1/2-1/2 (us: draw)  [11+12=9-]
game 33: W 1-0     (us: win)  [12+12=9-]
game 34: B 0-1     (us: win)  [13+12=9-]
game 35: W 1-0     (us: win)  [14+12=9-]
game 36: B 1-0     (us: loss)  [14+12=10-]
game 37: W 1/2-1/2 (us: draw)  [14+13=10-]
game 38: B 1/2-1/2 (us: draw)  [14+14=10-]
game 39: W 1/2-1/2 (us: draw)  [14+15=10-]
game 40: B 1/2-1/2 (us: draw)  [14+16=10-]
game 41: W 1/2-1/2 (us: draw)  [14+17=10-]
game 42: B 0-1     (us: win)  [15+17=10-]
game 43: W 1/2-1/2 (us: draw)  [15+18=10-]
game 44: B 1-0     (us: loss)  [15+18=11-]
game 45: W 1/2-1/2 (us: draw)  [15+19=11-]
game 46: B 1-0     (us: loss)  [15+19=12-]
game 47: W 0-1     (us: loss)  [15+19=13-]
game 48: B 1-0     (us: loss)  [15+19=14-]
game 49: W 0-1     (us: loss)  [15+19=15-]
game 50: B 0-1     (us: win)  [16+19=15-]
game 51: W 1/2-1/2 (us: draw)  [16+20=15-]
game 52: B 1-0     (us: loss)  [16+20=16-]
game 53: W 0-1     (us: loss)  [16+20=17-]
game 54: B 0-1     (us: win)  [17+20=17-]
game 55: W 1/2-1/2 (us: draw)  [17+21=17-]
game 56: B 1/2-1/2 (us: draw)  [17+22=17-]
game 57: W 1/2-1/2 (us: draw)  [17+23=17-]
game 58: B 1/2-1/2 (us: draw)  [17+24=17-]
game 59: W 0-1     (us: loss)  [17+24=18-]
game 60: B 1/2-1/2 (us: draw)  [17+25=18-]

result vs cmd:.venv/bin/python -m engine.uci: +17 =25 -18  (49%)
elo diff: -6  (95% ~ -96..+84)
