book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 1/2-1/2 (us: draw)  [2+1=0-]
game  4: B 1/2-1/2 (us: draw)  [2+2=0-]
game  5: W 1-0     (us: win)  [3+2=0-]
game  6: B 1/2-1/2 (us: draw)  [3+3=0-]
game  7: W 1/2-1/2 (us: draw)  [3+4=0-]
game  8: B 1-0     (us: loss)  [3+4=1-]
game  9: W 1-0     (us: win)  [4+4=1-]
game 10: B 1-0     (us: loss)  [4+4=2-]
game 11: W 1-0     (us: win)  [5+4=2-]
game 12: B 0-1     (us: win)  [6+4=2-]
game 13: W 1-0     (us: win)  [7+4=2-]
game 14: B 0-1     (us: win)  [8+4=2-]
game 15: W 1-0     (us: win)  [9+4=2-]
game 16: B 1-0     (us: loss)  [9+4=3-]
game 17: W 1/2-1/2 (us: draw)  [9+5=3-]
game 18: B 1-0     (us: loss)  [9+5=4-]
game 19: W 1/2-1/2 (us: draw)  [9+6=4-]
game 20: B 1/2-1/2 (us: draw)  [9+7=4-]
game 21: W 1-0     (us: win)  [10+7=4-]
game 22: B 1-0     (us: loss)  [10+7=5-]
game 23: W 1/2-1/2 (us: draw)  [10+8=5-]
game 24: B 1-0     (us: loss)  [10+8=6-]
game 25: W 1-0     (us: win)  [11+8=6-]
game 26: B 1/2-1/2 (us: draw)  [11+9=6-]
game 27: W 1-0     (us: win)  [12+9=6-]
game 28: B 1-0     (us: loss)  [12+9=7-]
game 29: W 1/2-1/2 (us: draw)  [12+10=7-]
game 30: B 0-1     (us: win)  [13+10=7-]
game 31: W 1/2-1/2 (us: draw)  [13+11=7-]
game 32: B 1/2-1/2 (us: draw)  [13+12=7-]
game 33: W 1-0     (us: win)  [14+12=7-]
game 34: B 1-0     (us: loss)  [14+12=8-]
game 35: W 1-0     (us: win)  [15+12=8-]
game 36: B 0-1     (us: win)  [16+12=8-]
game 37: W 1/2-1/2 (us: draw)  [16+13=8-]
game 38: B 1/2-1/2 (us: draw)  [16+14=8-]
game 39: W 0-1     (us: loss)  [16+14=9-]
game 40: B 0-1     (us: win)  [17+14=9-]

result vs cmd:.venv/bin/python -m engine.uci: +17 =14 -9  (60%)
elo diff: +70  (95% ~ -36..+193)
