book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 1-0     (us: win)  [3+0=0-]
game  4: B 1-0     (us: loss)  [3+0=1-]
game  5: W 0-1     (us: loss)  [3+0=2-]
game  6: B 1-0     (us: loss)  [3+0=3-]
game  7: W 1/2-1/2 (us: draw)  [3+1=3-]
game  8: B 1-0     (us: loss)  [3+1=4-]
game  9: W 0-1     (us: loss)  [3+1=5-]
game 10: B 1/2-1/2 (us: draw)  [3+2=5-]
game 11: W 0-1     (us: loss)  [3+2=6-]
game 12: B 0-1     (us: win)  [4+2=6-]
game 13: W 1/2-1/2 (us: draw)  [4+3=6-]
game 14: B 1/2-1/2 (us: draw)  [4+4=6-]
game 15: W 1-0     (us: win)  [5+4=6-]
game 16: B 0-1     (us: win)  [6+4=6-]
game 17: W 1/2-1/2 (us: draw)  [6+5=6-]
game 18: B 1-0     (us: loss)  [6+5=7-]
game 19: W 0-1     (us: loss)  [6+5=8-]
game 20: B 1/2-1/2 (us: draw)  [6+6=8-]
game 21: W 1/2-1/2 (us: draw)  [6+7=8-]
game 22: B 1/2-1/2 (us: draw)  [6+8=8-]
game 23: W 0-1     (us: loss)  [6+8=9-]
game 24: B 0-1     (us: win)  [7+8=9-]
game 25: W 1/2-1/2 (us: draw)  [7+9=9-]
game 26: B 1/2-1/2 (us: draw)  [7+10=9-]
game 27: W 1/2-1/2 (us: draw)  [7+11=9-]
game 28: B 1/2-1/2 (us: draw)  [7+12=9-]
game 29: W 1/2-1/2 (us: draw)  [7+13=9-]
game 30: B 1-0     (us: loss)  [7+13=10-]
game 31: W 0-1     (us: loss)  [7+13=11-]
game 32: B 0-1     (us: win)  [8+13=11-]
game 33: W 1-0     (us: win)  [9+13=11-]
game 34: B 1-0     (us: loss)  [9+13=12-]
game 35: W 0-1     (us: loss)  [9+13=13-]
game 36: B 1/2-1/2 (us: draw)  [9+14=13-]
game 37: W 1/2-1/2 (us: draw)  [9+15=13-]
game 38: B 0-1     (us: win)  [10+15=13-]
game 39: W 0-1     (us: loss)  [10+15=14-]
game 40: B 1-0     (us: loss)  [10+15=15-]

result vs cmd:.venv/bin/python -m engine.uci: +10 =15 -15  (44%)
elo diff: -44  (95% ~ -161..+64)
