book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 1-0     (us: loss)  [1+0=1-]
game  3: W 1-0     (us: win)  [2+0=1-]
game  4: B 1-0     (us: loss)  [2+0=2-]
game  5: W 1-0     (us: win)  [3+0=2-]
game  6: B 1-0     (us: loss)  [3+0=3-]
game  7: W 1/2-1/2 (us: draw)  [3+1=3-]
game  8: B 1-0     (us: loss)  [3+1=4-]
game  9: W 1-0     (us: win)  [4+1=4-]
game 10: B 1-0     (us: loss)  [4+1=5-]
game 11: W 1/2-1/2 (us: draw)  [4+2=5-]
game 12: B 0-1     (us: win)  [5+2=5-]
game 13: W 1-0     (us: win)  [6+2=5-]
game 14: B 0-1     (us: win)  [7+2=5-]
game 15: W 1/2-1/2 (us: draw)  [7+3=5-]
game 16: B 0-1     (us: win)  [8+3=5-]
game 17: W 1-0     (us: win)  [9+3=5-]
game 18: B 0-1     (us: win)  [10+3=5-]
game 19: W 1-0     (us: win)  [11+3=5-]
game 20: B 1/2-1/2 (us: draw)  [11+4=5-]
game 21: W 1-0     (us: win)  [12+4=5-]
game 22: B 0-1     (us: win)  [13+4=5-]
game 23: W 1-0     (us: win)  [14+4=5-]
game 24: B 1/2-1/2 (us: draw)  [14+5=5-]
game 25: W 1-0     (us: win)  [15+5=5-]
game 26: B 0-1     (us: win)  [16+5=5-]
game 27: W 1-0     (us: win)  [17+5=5-]
game 28: B 1-0     (us: loss)  [17+5=6-]
game 29: W 1/2-1/2 (us: draw)  [17+6=6-]
game 30: B 0-1     (us: win)  [18+6=6-]
game 31: W 1-0     (us: win)  [19+6=6-]
game 32: B 1/2-1/2 (us: draw)  [19+7=6-]
game 33: W 1-0     (us: win)  [20+7=6-]
game 34: B 0-1     (us: win)  [21+7=6-]
game 35: W 0-1     (us: loss)  [21+7=7-]
game 36: B 1-0     (us: loss)  [21+7=8-]
game 37: W 1-0     (us: win)  [22+7=8-]
game 38: B 1/2-1/2 (us: draw)  [22+8=8-]
game 39: W 1/2-1/2 (us: draw)  [22+9=8-]
game 40: B 0-1     (us: win)  [23+9=8-]
game 41: W 1-0     (us: win)  [24+9=8-]
game 42: B 0-1     (us: win)  [25+9=8-]
game 43: W 1-0     (us: win)  [26+9=8-]
game 44: B 0-1     (us: win)  [27+9=8-]
game 45: W 1-0     (us: win)  [28+9=8-]
game 46: B 0-1     (us: win)  [29+9=8-]
game 47: W 1/2-1/2 (us: draw)  [29+10=8-]
game 48: B 0-1     (us: win)  [30+10=8-]
game 49: W 1-0     (us: win)  [31+10=8-]
game 50: B 0-1     (us: win)  [32+10=8-]
game 51: W 1-0     (us: win)  [33+10=8-]
game 52: B 1/2-1/2 (us: draw)  [33+11=8-]
game 53: W 1-0     (us: win)  [34+11=8-]
SPRT stop after 53 games: H1 (better)

result vs cmd:.venv/bin/python -m engine.uci: +34 =11 -8  (75%)
elo diff: +187  (95% ~ +91..+319)
