book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1/2-1/2 (us: draw)  [0+1=0-]
game  2: B 1/2-1/2 (us: draw)  [0+2=0-]
game  3: W 1-0     (us: win)  [1+2=0-]
game  4: B 0-1     (us: win)  [2+2=0-]
game  5: W 0-1     (us: loss)  [2+2=1-]
game  6: B 1/2-1/2 (us: draw)  [2+3=1-]
game  7: W 1/2-1/2 (us: draw)  [2+4=1-]
game  8: B 1/2-1/2 (us: draw)  [2+5=1-]
game  9: W 1/2-1/2 (us: draw)  [2+6=1-]
game 10: B 1/2-1/2 (us: draw)  [2+7=1-]
game 11: W 1-0     (us: win)  [3+7=1-]
game 12: B 1/2-1/2 (us: draw)  [3+8=1-]
game 13: W 1/2-1/2 (us: draw)  [3+9=1-]
game 14: B 0-1     (us: win)  [4+9=1-]
game 15: W 1/2-1/2 (us: draw)  [4+10=1-]
game 16: B 0-1     (us: win)  [5+10=1-]
game 17: W 0-1     (us: loss)  [5+10=2-]
game 18: B 0-1     (us: win)  [6+10=2-]
game 19: W 1/2-1/2 (us: draw)  [6+11=2-]
game 20: B 1/2-1/2 (us: draw)  [6+12=2-]
game 21: W 1-0     (us: win)  [7+12=2-]
game 22: B 1/2-1/2 (us: draw)  [7+13=2-]
game 23: W 1-0     (us: win)  [8+13=2-]
game 24: B 0-1     (us: win)  [9+13=2-]
game 25: W 1/2-1/2 (us: draw)  [9+14=2-]
game 26: B 0-1     (us: win)  [10+14=2-]
game 27: W 1/2-1/2 (us: draw)  [10+15=2-]
game 28: B 1/2-1/2 (us: draw)  [10+16=2-]
game 29: W 1-0     (us: win)  [11+16=2-]
game 30: B 1-0     (us: loss)  [11+16=3-]
game 31: W 0-1     (us: loss)  [11+16=4-]
game 32: B 0-1     (us: win)  [12+16=4-]
game 33: W 1-0     (us: win)  [13+16=4-]
game 34: B 1-0     (us: loss)  [13+16=5-]
game 35: W 0-1     (us: loss)  [13+16=6-]
game 36: B 1/2-1/2 (us: draw)  [13+17=6-]
game 37: W 1/2-1/2 (us: draw)  [13+18=6-]
game 38: B 1/2-1/2 (us: draw)  [13+19=6-]
game 39: W 1/2-1/2 (us: draw)  [13+20=6-]
game 40: B 1/2-1/2 (us: draw)  [13+21=6-]

result vs cmd:.venv/bin/python -m engine.uci: +13 =21 -6  (59%)
elo diff: +61  (95% ~ -45..+182)
