book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1/2-1/2 (us: draw)  [0+1=0-]
game  2: B 1-0     (us: loss)  [0+1=1-]
game  3: W 0-1     (us: loss)  [0+1=2-]
game  4: B 1-0     (us: loss)  [0+1=3-]
game  5: W 0-1     (us: loss)  [0+1=4-]
game  6: B 1-0     (us: loss)  [0+1=5-]
game  7: W 1/2-1/2 (us: draw)  [0+2=5-]
game  8: B 1/2-1/2 (us: draw)  [0+3=5-]
game  9: W 1-0     (us: win)  [1+3=5-]
game 10: B 1/2-1/2 (us: draw)  [1+4=5-]
game 11: W 0-1     (us: loss)  [1+4=6-]
game 12: B 1-0     (us: loss)  [1+4=7-]
game 13: W 1/2-1/2 (us: draw)  [1+5=7-]
game 14: B 1/2-1/2 (us: draw)  [1+6=7-]
game 15: W 0-1     (us: loss)  [1+6=8-]
game 16: B 1/2-1/2 (us: draw)  [1+7=8-]
game 17: W 0-1     (us: loss)  [1+7=9-]
game 18: B 0-1     (us: win)  [2+7=9-]
game 19: W 1-0     (us: win)  [3+7=9-]
game 20: B 1-0     (us: loss)  [3+7=10-]
game 21: W 1-0     (us: win)  [4+7=10-]
game 22: B 0-1     (us: win)  [5+7=10-]
game 23: W 0-1     (us: loss)  [5+7=11-]
game 24: B 1-0     (us: loss)  [5+7=12-]
game 25: W 1/2-1/2 (us: draw)  [5+8=12-]
game 26: B 0-1     (us: win)  [6+8=12-]
game 27: W 1/2-1/2 (us: draw)  [6+9=12-]
game 28: B 1-0     (us: loss)  [6+9=13-]
game 29: W 1-0     (us: win)  [7+9=13-]
game 30: B 0-1     (us: win)  [8+9=13-]
game 31: W 0-1     (us: loss)  [8+9=14-]
game 32: B 1-0     (us: loss)  [8+9=15-]
game 33: W 1-0     (us: win)  [9+9=15-]
game 34: B 0-1     (us: win)  [10+9=15-]
game 35: W 0-1     (us: loss)  [10+9=16-]
game 36: B 0-1     (us: win)  [11+9=16-]
game 37: W 1-0     (us: win)  [12+9=16-]
game 38: B 1-0     (us: loss)  [12+9=17-]
game 39: W 0-1     (us: loss)  [12+9=18-]
game 40: B 1/2-1/2 (us: draw)  [12+10=18-]
game 41: W 1-0     (us: win)  [13+10=18-]
game 42: B 1/2-1/2 (us: draw)  [13+11=18-]
game 43: W 1-0     (us: win)  [14+11=18-]
game 44: B 1-0     (us: loss)  [14+11=19-]
game 45: W 1/2-1/2 (us: draw)  [14+12=19-]
game 46: B 1-0     (us: loss)  [14+12=20-]
game 47: W 1/2-1/2 (us: draw)  [14+13=20-]
game 48: B 1-0     (us: loss)  [14+13=21-]
game 49: W 1-0     (us: win)  [15+13=21-]
game 50: B 1-0     (us: loss)  [15+13=22-]
game 51: W 0-1     (us: loss)  [15+13=23-]
game 52: B 1/2-1/2 (us: draw)  [15+14=23-]
game 53: W 1-0     (us: win)  [16+14=23-]
game 54: B 0-1     (us: win)  [17+14=23-]
game 55: W 1-0     (us: win)  [18+14=23-]
game 56: B 0-1     (us: win)  [19+14=23-]
game 57: W 0-1     (us: loss)  [19+14=24-]
game 58: B 1-0     (us: loss)  [19+14=25-]
game 59: W 1/2-1/2 (us: draw)  [19+15=25-]
game 60: B 0-1     (us: win)  [20+15=25-]

result vs cmd:.venv/bin/python -m engine.uci: +20 =15 -25  (46%)
elo diff: -29  (95% ~ -121..+59)
