book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 1/2-1/2 (us: draw)  [0+1=1-]
game  3: W 1/2-1/2 (us: draw)  [0+2=1-]
game  4: B 1/2-1/2 (us: draw)  [0+3=1-]
game  5: W 1/2-1/2 (us: draw)  [0+4=1-]
game  6: B 1-0     (us: loss)  [0+4=2-]
game  7: W 0-1     (us: loss)  [0+4=3-]
game  8: B 0-1     (us: win)  [1+4=3-]
game  9: W 1-0     (us: win)  [2+4=3-]
game 10: B 1-0     (us: loss)  [2+4=4-]
game 11: W 1/2-1/2 (us: draw)  [2+5=4-]
game 12: B 1-0     (us: loss)  [2+5=5-]
game 13: W 0-1     (us: loss)  [2+5=6-]
game 14: B 0-1     (us: win)  [3+5=6-]
game 15: W 1-0     (us: win)  [4+5=6-]
game 16: B 0-1     (us: win)  [5+5=6-]
game 17: W 1/2-1/2 (us: draw)  [5+6=6-]
game 18: B 1-0     (us: loss)  [5+6=7-]
game 19: W 0-1     (us: loss)  [5+6=8-]
game 20: B 1-0     (us: loss)  [5+6=9-]
game 21: W 1/2-1/2 (us: draw)  [5+7=9-]
game 22: B 0-1     (us: win)  [6+7=9-]
game 23: W 1/2-1/2 (us: draw)  [6+8=9-]
game 24: B 1/2-1/2 (us: draw)  [6+9=9-]
game 25: W 1-0     (us: win)  [7+9=9-]
game 26: B 1/2-1/2 (us: draw)  [7+10=9-]
game 27: W 1-0     (us: win)  [8+10=9-]
game 28: B 1-0     (us: loss)  [8+10=10-]
game 29: W 1-0     (us: win)  [9+10=10-]
game 30: B 0-1     (us: win)  [10+10=10-]
game 31: W 0-1     (us: loss)  [10+10=11-]
game 32: B 1-0     (us: loss)  [10+10=12-]
game 33: W 1-0     (us: win)  [11+10=12-]
game 34: B 1/2-1/2 (us: draw)  [11+11=12-]
game 35: W 1-0     (us: win)  [12+11=12-]
game 36: B 1/2-1/2 (us: draw)  [12+12=12-]
game 37: W 0-1     (us: loss)  [12+12=13-]
game 38: B 1-0     (us: loss)  [12+12=14-]
game 39: W 0-1     (us: loss)  [12+12=15-]
game 40: B 1/2-1/2 (us: draw)  [12+13=15-]
game 41: W 1/2-1/2 (us: draw)  [12+14=15-]
game 42: B 1-0     (us: loss)  [12+14=16-]
game 43: W 0-1     (us: loss)  [12+14=17-]
game 44: B 1/2-1/2 (us: draw)  [12+15=17-]
game 45: W 1/2-1/2 (us: draw)  [12+16=17-]
game 46: B 1-0     (us: loss)  [12+16=18-]
game 47: W 0-1     (us: loss)  [12+16=19-]
game 48: B 0-1     (us: win)  [13+16=19-]
game 49: W 1-0     (us: win)  [14+16=19-]
game 50: B 1-0     (us: loss)  [14+16=20-]
game 51: W 1-0     (us: win)  [15+16=20-]
game 52: B 0-1     (us: win)  [16+16=20-]
game 53: W 1-0     (us: win)  [17+16=20-]
game 54: B 1/2-1/2 (us: draw)  [17+17=20-]
game 55: W 1/2-1/2 (us: draw)  [17+18=20-]
game 56: B 1/2-1/2 (us: draw)  [17+19=20-]
game 57: W 0-1     (us: loss)  [17+19=21-]
game 58: B 1-0     (us: loss)  [17+19=22-]
game 59: W 1/2-1/2 (us: draw)  [17+20=22-]
game 60: B 1/2-1/2 (us: draw)  [17+21=22-]

result vs cmd:.venv/bin/python -m engine.uci: +17 =21 -22  (46%)
elo diff: -29  (95% ~ -121..+59)
