book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 1/2-1/2 (us: draw)  [0+1=1-]
game  3: W 0-1     (us: loss)  [0+1=2-]
game  4: B 1/2-1/2 (us: draw)  [0+2=2-]
game  5: W 1/2-1/2 (us: draw)  [0+3=2-]
game  6: B 1-0     (us: loss)  [0+3=3-]
game  7: W 1/2-1/2 (us: draw)  [0+4=3-]
game  8: B 1-0     (us: loss)  [0+4=4-]
game  9: W 1-0     (us: win)  [1+4=4-]
game 10: B 0-1     (us: win)  [2+4=4-]
game 11: W 1/2-1/2 (us: draw)  [2+5=4-]
game 12: B 0-1     (us: win)  [3+5=4-]
game 13: W 1-0     (us: win)  [4+5=4-]
game 14: B 0-1     (us: win)  [5+5=4-]
game 15: W 1/2-1/2 (us: draw)  [5+6=4-]
game 16: B 0-1     (us: win)  [6+6=4-]
game 17: W 0-1     (us: loss)  [6+6=5-]
game 18: B 0-1     (us: win)  [7+6=5-]
game 19: W 1/2-1/2 (us: draw)  [7+7=5-]
game 20: B 1-0     (us: loss)  [7+7=6-]
game 21: W 1-0     (us: win)  [8+7=6-]
game 22: B 1/2-1/2 (us: draw)  [8+8=6-]
game 23: W 1/2-1/2 (us: draw)  [8+9=6-]
game 24: B 1/2-1/2 (us: draw)  [8+10=6-]
game 25: W 1/2-1/2 (us: draw)  [8+11=6-]
game 26: B 1/2-1/2 (us: draw)  [8+12=6-]
game 27: W 1-0     (us: win)  [9+12=6-]
game 28: B 1-0     (us: loss)  [9+12=7-]
game 29: W 0-1     (us: loss)  [9+12=8-]
game 30: B 1-0     (us: loss)  [9+12=9-]
game 31: W 1/2-1/2 (us: draw)  [9+13=9-]
game 32: B 1-0     (us: loss)  [9+13=10-]
game 33: W 1-0     (us: win)  [10+13=10-]
game 34: B 1-0     (us: loss)  [10+13=11-]
game 35: W 0-1     (us: loss)  [10+13=12-]
game 36: B 1/2-1/2 (us: draw)  [10+14=12-]
game 37: W 0-1     (us: loss)  [10+14=13-]
game 38: B 1-0     (us: loss)  [10+14=14-]
game 39: W 1/2-1/2 (us: draw)  [10+15=14-]
game 40: B 1/2-1/2 (us: draw)  [10+16=14-]
game 41: W 1/2-1/2 (us: draw)  [10+17=14-]
game 42: B 1-0     (us: loss)  [10+17=15-]
game 43: W 1/2-1/2 (us: draw)  [10+18=15-]
game 44: B 1/2-1/2 (us: draw)  [10+19=15-]
game 45: W 1/2-1/2 (us: draw)  [10+20=15-]
game 46: B 0-1     (us: win)  [11+20=15-]
game 47: W 0-1     (us: loss)  [11+20=16-]
game 48: B 0-1     (us: win)  [12+20=16-]
game 49: W 0-1     (us: loss)  [12+20=17-]
game 50: B 0-1     (us: win)  [13+20=17-]
game 51: W 1/2-1/2 (us: draw)  [13+21=17-]
game 52: B 1-0     (us: loss)  [13+21=18-]
game 53: W 1-0     (us: win)  [14+21=18-]
game 54: B 0-1     (us: win)  [15+21=18-]
game 55: W 0-1     (us: loss)  [15+21=19-]
game 56: B 1/2-1/2 (us: draw)  [15+22=19-]
game 57: W 1/2-1/2 (us: draw)  [15+23=19-]
game 58: B 1-0     (us: loss)  [15+23=20-]
game 59: W 1-0     (us: win)  [16+23=20-]
game 60: B 1-0     (us: loss)  [16+23=21-]

result vs cmd:.venv/bin/python -m engine.uci: +16 =23 -21  (46%)
elo diff: -29  (95% ~ -121..+59)
