book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 0-1     (us: loss)  [2+0=1-]
game  4: B 1/2-1/2 (us: draw)  [2+1=1-]
game  5: W 1/2-1/2 (us: draw)  [2+2=1-]
game  6: B 1/2-1/2 (us: draw)  [2+3=1-]
game  7: W 0-1     (us: loss)  [2+3=2-]
game  8: B 1-0     (us: loss)  [2+3=3-]
game  9: W 1-0     (us: win)  [3+3=3-]
game 10: B 1/2-1/2 (us: draw)  [3+4=3-]
game 11: W 1-0     (us: win)  [4+4=3-]
game 12: B 1/2-1/2 (us: draw)  [4+5=3-]
game 13: W 0-1     (us: loss)  [4+5=4-]
game 14: B 0-1     (us: win)  [5+5=4-]
game 15: W 0-1     (us: loss)  [5+5=5-]
game 16: B 0-1     (us: win)  [6+5=5-]
game 17: W 0-1     (us: loss)  [6+5=6-]
game 18: B 1/2-1/2 (us: draw)  [6+6=6-]
game 19: W 1/2-1/2 (us: draw)  [6+7=6-]
game 20: B 0-1     (us: win)  [7+7=6-]
game 21: W 1-0     (us: win)  [8+7=6-]
game 22: B 1/2-1/2 (us: draw)  [8+8=6-]
game 23: W 1/2-1/2 (us: draw)  [8+9=6-]
game 24: B 1-0     (us: loss)  [8+9=7-]
game 25: W 1/2-1/2 (us: draw)  [8+10=7-]
game 26: B 1-0     (us: loss)  [8+10=8-]
game 27: W 1-0     (us: win)  [9+10=8-]
game 28: B 1/2-1/2 (us: draw)  [9+11=8-]
game 29: W 0-1     (us: loss)  [9+11=9-]
game 30: B 1/2-1/2 (us: draw)  [9+12=9-]
game 31: W 1/2-1/2 (us: draw)  [9+13=9-]
game 32: B 0-1     (us: win)  [10+13=9-]
game 33: W 1-0     (us: win)  [11+13=9-]
game 34: B 1-0     (us: loss)  [11+13=10-]
game 35: W 1/2-1/2 (us: draw)  [11+14=10-]
game 36: B 0-1     (us: win)  [12+14=10-]
game 37: W 1/2-1/2 (us: draw)  [12+15=10-]
game 38: B 1/2-1/2 (us: draw)  [12+16=10-]
game 39: W 1/2-1/2 (us: draw)  [12+17=10-]
game 40: B 0-1     (us: win)  [13+17=10-]
game 41: W 1/2-1/2 (us: draw)  [13+18=10-]
game 42: B 1-0     (us: loss)  [13+18=11-]
game 43: W 1-0     (us: win)  [14+18=11-]
game 44: B 1/2-1/2 (us: draw)  [14+19=11-]
game 45: W 1/2-1/2 (us: draw)  [14+20=11-]
game 46: B 1-0     (us: loss)  [14+20=12-]
game 47: W 1/2-1/2 (us: draw)  [14+21=12-]
game 48: B 1-0     (us: loss)  [14+21=13-]
game 49: W 1-0     (us: win)  [15+21=13-]
game 50: B 1/2-1/2 (us: draw)  [15+22=13-]
game 51: W 1-0     (us: win)  [16+22=13-]
game 52: B 1-0     (us: loss)  [16+22=14-]
game 53: W 1-0     (us: win)  [17+22=14-]
game 54: B 0-1     (us: win)  [18+22=14-]
game 55: W 1/2-1/2 (us: draw)  [18+23=14-]
game 56: B 1-0     (us: loss)  [18+23=15-]
game 57: W 0-1     (us: loss)  [18+23=16-]
game 58: B 0-1     (us: win)  [19+23=16-]
game 59: W 1/2-1/2 (us: draw)  [19+24=16-]
game 60: B 1-0     (us: loss)  [19+24=17-]

result vs cmd:.venv/bin/python -m engine.uci: +19 =24 -17  (52%)
elo diff: +12  (95% ~ -78..+102)
