book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 0-1     (us: loss)  [0+0=1-]
game  2: B 1/2-1/2 (us: draw)  [0+1=1-]
game  3: W 1/2-1/2 (us: draw)  [0+2=1-]
game  4: B 1-0     (us: loss)  [0+2=2-]
game  5: W 0-1     (us: loss)  [0+2=3-]
game  6: B 0-1     (us: win)  [1+2=3-]
game  7: W 1/2-1/2 (us: draw)  [1+3=3-]
game  8: B 0-1     (us: win)  [2+3=3-]
game  9: W 0-1     (us: loss)  [2+3=4-]
game 10: B 1/2-1/2 (us: draw)  [2+4=4-]
game 11: W 1-0     (us: win)  [3+4=4-]
game 12: B 1-0     (us: loss)  [3+4=5-]
game 13: W 1-0     (us: win)  [4+4=5-]
game 14: B 1/2-1/2 (us: draw)  [4+5=5-]
game 15: W 1-0     (us: win)  [5+5=5-]
game 16: B 1-0     (us: loss)  [5+5=6-]
game 17: W 1/2-1/2 (us: draw)  [5+6=6-]
game 18: B 1/2-1/2 (us: draw)  [5+7=6-]
game 19: W 1/2-1/2 (us: draw)  [5+8=6-]
game 20: B 1-0     (us: loss)  [5+8=7-]
game 21: W 1-0     (us: win)  [6+8=7-]
game 22: B 1/2-1/2 (us: draw)  [6+9=7-]
game 23: W 1-0     (us: win)  [7+9=7-]
game 24: B 1-0     (us: loss)  [7+9=8-]
game 25: W 1-0     (us: win)  [8+9=8-]
game 26: B 0-1     (us: win)  [9+9=8-]
game 27: W 1-0     (us: win)  [10+9=8-]
game 28: B 1-0     (us: loss)  [10+9=9-]
game 29: W 0-1     (us: loss)  [10+9=10-]
game 30: B 0-1     (us: win)  [11+9=10-]
game 31: W 1-0     (us: win)  [12+9=10-]
game 32: B 1/2-1/2 (us: draw)  [12+10=10-]
game 33: W 1/2-1/2 (us: draw)  [12+11=10-]
game 34: B 1/2-1/2 (us: draw)  [12+12=10-]
game 35: W 0-1     (us: loss)  [12+12=11-]
game 36: B 1/2-1/2 (us: draw)  [12+13=11-]
game 37: W 1/2-1/2 (us: draw)  [12+14=11-]
game 38: B 1/2-1/2 (us: draw)  [12+15=11-]
game 39: W 0-1     (us: loss)  [12+15=12-]
game 40: B 0-1     (us: win)  [13+15=12-]
game 41: W 1-0     (us: win)  [14+15=12-]
game 42: B 1-0     (us: loss)  [14+15=13-]
game 43: W 1-0     (us: win)  [15+15=13-]
game 44: B 1-0     (us: loss)  [15+15=14-]
game 45: W 1/2-1/2 (us: draw)  [15+16=14-]
game 46: B 1-0     (us: loss)  [15+16=15-]
game 47: W 1/2-1/2 (us: draw)  [15+17=15-]
game 48: B 1-0     (us: loss)  [15+17=16-]
game 49: W 0-1     (us: loss)  [15+17=17-]
game 50: B 1-0     (us: loss)  [15+17=18-]
game 51: W 0-1     (us: loss)  [15+17=19-]
game 52: B 0-1     (us: win)  [16+17=19-]
game 53: W 0-1     (us: loss)  [16+17=20-]
game 54: B 1/2-1/2 (us: draw)  [16+18=20-]
game 55: W 1-0     (us: win)  [17+18=20-]
game 56: B 1-0     (us: loss)  [17+18=21-]
game 57: W 0-1     (us: loss)  [17+18=22-]
game 58: B 0-1     (us: win)  [18+18=22-]
game 59: W 0-1     (us: loss)  [18+18=23-]
game 60: B 0-1     (us: win)  [19+18=23-]

result vs cmd:.venv/bin/python -m engine.uci: +19 =18 -23  (47%)
elo diff: -23  (95% ~ -115..+65)
