book: 1000 unbalanced openings from research/books/uho_1000.epd
game  1: W 1-0     (us: win)  [1+0=0-]
game  2: B 0-1     (us: win)  [2+0=0-]
game  3: W 1/2-1/2 (us: draw)  [2+1=0-]
game  4: B 1/2-1/2 (us: draw)  [2+2=0-]
game  5: W 1-0     (us: win)  [3+2=0-]
game  6: B 1/2-1/2 (us: draw)  [3+3=0-]
game  7: W 0-1     (us: loss)  [3+3=1-]
game  8: B 1/2-1/2 (us: draw)  [3+4=1-]
game  9: W 1/2-1/2 (us: draw)  [3+5=1-]
game 10: B 0-1     (us: win)  [4+5=1-]
game 11: W 1/2-1/2 (us: draw)  [4+6=1-]
game 12: B 0-1     (us: win)  [5+6=1-]
game 13: W 0-1     (us: loss)  [5+6=2-]
game 14: B 1/2-1/2 (us: draw)  [5+7=2-]
game 15: W 0-1     (us: loss)  [5+7=3-]
game 16: B 1-0     (us: loss)  [5+7=4-]
game 17: W 1-0     (us: win)  [6+7=4-]
game 18: B 0-1     (us: win)  [7+7=4-]
game 19: W 0-1     (us: loss)  [7+7=5-]
game 20: B 1/2-1/2 (us: draw)  [7+8=5-]
game 21: W 1-0     (us: win)  [8+8=5-]
game 22: B 1/2-1/2 (us: draw)  [8+9=5-]
game 23: W 1/2-1/2 (us: draw)  [8+10=5-]
game 24: B 1/2-1/2 (us: draw)  [8+11=5-]
game 25: W 1-0     (us: win)  [9+11=5-]
game 26: B 1-0     (us: loss)  [9+11=6-]
game 27: W 1-0     (us: win)  [10+11=6-]
game 28: B 1/2-1/2 (us: draw)  [10+12=6-]
game 29: W 1/2-1/2 (us: draw)  [10+13=6-]
game 30: B 1-0     (us: loss)  [10+13=7-]
game 31: W 1-0     (us: win)  [11+13=7-]
game 32: B 1/2-1/2 (us: draw)  [11+14=7-]
game 33: W 0-1     (us: loss)  [11+14=8-]
game 34: B 1-0     (us: loss)  [11+14=9-]
game 35: W 1-0     (us: win)  [12+14=9-]
game 36: B 0-1     (us: win)  [13+14=9-]
game 37: W 1/2-1/2 (us: draw)  [13+15=9-]
game 38: B 1/2-1/2 (us: draw)  [13+16=9-]
game 39: W 0-1     (us: loss)  [13+16=10-]
game 40: B 1/2-1/2 (us: draw)  [13+17=10-]
game 41: W 0-1     (us: loss)  [13+17=11-]
game 42: B 1-0     (us: loss)  [13+17=12-]
game 43: W 0-1     (us: loss)  [13+17=13-]
game 44: B 1-0     (us: loss)  [13+17=14-]
game 45: W 1-0     (us: win)  [14+17=14-]
game 46: B 1/2-1/2 (us: draw)  [14+18=14-]
game 47: W 1-0     (us: win)  [15+18=14-]
game 48: B 1-0     (us: loss)  [15+18=15-]
game 49: W 1-0     (us: win)  [16+18=15-]
game 50: B 1-0     (us: loss)  [16+18=16-]
game 51: W 1/2-1/2 (us: draw)  [16+19=16-]
game 52: B 1-0     (us: loss)  [16+19=17-]
game 53: W 1/2-1/2 (us: draw)  [16+20=17-]
game 54: B 0-1     (us: win)  [17+20=17-]
game 55: W 1-0     (us: win)  [18+20=17-]
game 56: B 1-0     (us: loss)  [18+20=18-]
game 57: W 1/2-1/2 (us: draw)  [18+21=18-]
game 58: B 1/2-1/2 (us: draw)  [18+22=18-]
game 59: W 1/2-1/2 (us: draw)  [18+23=18-]
game 60: B 1-0     (us: loss)  [18+23=19-]

result vs cmd:.venv/bin/python -m engine.uci: +18 =23 -19  (49%)
elo diff: -6  (95% ~ -96..+84)
