[20/400] games, 500 samples
[40/400] games, 1000 samples
[60/400] games, 1500 samples
[80/400] games, 1991 samples
[100/400] games, 2491 samples
[120/400] games, 2991 samples
[140/400] games, 3491 samples
[160/400] games, 3991 samples
[180/400] games, 4491 samples
[200/400] games, 4991 samples
[220/400] games, 5491 samples
[240/400] games, 5991 samples
[260/400] games, 6491 samples
[280/400] games, 6991 samples
[300/400] games, 7491 samples
[320/400] games, 7984 samples
[340/400] games, 8484 samples
[360/400] games, 8984 samples
[380/400] games, 9484 samples
[400/400] games, 9984 samples
wrote 9984 samples to research/data/texel.jsonl
