screening balanced starts with Stockfish...
1666 balanced starts ready
[20/5000] games, 400 samples
[40/5000] games, 800 samples
[60/5000] games, 1200 samples
[80/5000] games, 1598 samples
[100/5000] games, 1997 samples
[120/5000] games, 2392 samples
[140/5000] games, 2776 samples
[160/5000] games, 3174 samples
[180/5000] games, 3566 samples
[200/5000] games, 3966 samples
[220/5000] games, 4366 samples
[240/5000] games, 4758 samples
[260/5000] games, 5150 samples
[280/5000] games, 5550 samples
[300/5000] games, 5946 samples
[320/5000] games, 6346 samples
[340/5000] games, 6731 samples
[360/5000] games, 7118 samples
[380/5000] games, 7511 samples
[400/5000] games, 7910 samples
[420/5000] games, 8300 samples
[440/5000] games, 8697 samples
[460/5000] games, 9038 samples
[480/5000] games, 9434 samples
[500/5000] games, 9827 samples
[520/5000] games, 10223 samples
[540/5000] games, 10619 samples
[560/5000] games, 11019 samples
[580/5000] games, 11419 samples
[600/5000] games, 11806 samples
[620/5000] games, 12206 samples
[640/5000] games, 12589 samples
[660/5000] games, 12989 samples
[680/5000] games, 13378 samples
[700/5000] games, 13769 samples
[720/5000] games, 14167 samples
[740/5000] games, 14559 samples
[760/5000] games, 14956 samples
[780/5000] games, 15348 samples
[800/5000] games, 15748 samples
[820/5000] games, 16135 samples
[840/5000] games, 16514 samples
[860/5000] games, 16909 samples
[880/5000] games, 17306 samples
[900/5000] games, 17694 samples
[920/5000] games, 18093 samples
[940/5000] games, 18485 samples
[960/5000] games, 18874 samples
[980/5000] games, 19274 samples
[1000/5000] games, 19666 samples
[1020/5000] games, 20063 samples
[1040/5000] games, 20463 samples
[1060/5000] games, 20855 samples
[1080/5000] games, 21250 samples
[1100/5000] games, 21648 samples
[1120/5000] games, 22048 samples
[1140/5000] games, 22448 samples
[1160/5000] games, 22846 samples
[1180/5000] games, 23245 samples
[1200/5000] games, 23634 samples
[1220/5000] games, 24034 samples
[1240/5000] games, 24434 samples
[1260/5000] games, 24824 samples
[1280/5000] games, 25223 samples
[1300/5000] games, 25616 samples
[1320/5000] games, 26016 samples
[1340/5000] games, 26414 samples
[1360/5000] games, 26813 samples
[1380/5000] games, 27199 samples
[1400/5000] games, 27592 samples
[1420/5000] games, 27992 samples
[1440/5000] games, 28383 samples
[1460/5000] games, 28783 samples
[1480/5000] games, 29156 samples
[1500/5000] games, 29556 samples
[1520/5000] games, 29956 samples
[1540/5000] games, 30345 samples
[1560/5000] games, 30743 samples
[1580/5000] games, 31132 samples
[1600/5000] games, 31528 samples
[1620/5000] games, 31913 samples
[1640/5000] games, 32304 samples
[1660/5000] games, 32700 samples
[1680/5000] games, 33100 samples
[1700/5000] games, 33499 samples
[1720/5000] games, 33899 samples
[1740/5000] games, 34299 samples
[1760/5000] games, 34698 samples
[1780/5000] games, 35098 samples
[1800/5000] games, 35482 samples
[1820/5000] games, 35882 samples
[1840/5000] games, 36263 samples
[1860/5000] games, 36663 samples
[1880/5000] games, 37063 samples
[1900/5000] games, 37463 samples
[1920/5000] games, 37863 samples
[1940/5000] games, 38263 samples
[1960/5000] games, 38661 samples
[1980/5000] games, 39061 samples
[2000/5000] games, 39449 samples
[2020/5000] games, 39838 samples
[2040/5000] games, 40238 samples
[2060/5000] games, 40637 samples
[2080/5000] games, 41034 samples
[2100/5000] games, 41434 samples
[2120/5000] games, 41815 samples
[2140/5000] games, 42215 samples
[2160/5000] games, 42611 samples
[2180/5000] games, 43003 samples
[2200/5000] games, 43395 samples
[2220/5000] games, 43784 samples
[2240/5000] games, 44178 samples
[2260/5000] games, 44577 samples
[2280/5000] games, 44969 samples
[2300/5000] games, 45360 samples
[2320/5000] games, 45745 samples
[2340/5000] games, 46141 samples
[2360/5000] games, 46529 samples
[2380/5000] games, 46918 samples
[2400/5000] games, 47299 samples
[2420/5000] games, 47693 samples
[2440/5000] games, 48093 samples
[2460/5000] games, 48491 samples
[2480/5000] games, 48890 samples
[2500/5000] games, 49289 samples
[2520/5000] games, 49685 samples
[2540/5000] games, 50077 samples
[2560/5000] games, 50475 samples
[2580/5000] games, 50854 samples
[2600/5000] games, 51248 samples
[2620/5000] games, 51635 samples
[2640/5000] games, 52034 samples
[2660/5000] games, 52428 samples
[2680/5000] games, 52827 samples
[2700/5000] games, 53222 samples
[2720/5000] games, 53616 samples
[2740/5000] games, 54010 samples
[2760/5000] games, 54402 samples
[2780/5000] games, 54802 samples
[2800/5000] games, 55198 samples
[2820/5000] games, 55598 samples
[2840/5000] games, 55996 samples
[2860/5000] games, 56395 samples
[2880/5000] games, 56795 samples
[2900/5000] games, 57195 samples
[2920/5000] games, 57586 samples
[2940/5000] games, 57986 samples
[2960/5000] games, 58380 samples
[2980/5000] games, 58776 samples
[3000/5000] games, 59176 samples
[3020/5000] games, 59576 samples
[3040/5000] games, 59971 samples
[3060/5000] games, 60356 samples
[3080/5000] games, 60756 samples
[3100/5000] games, 61147 samples
[3120/5000] games, 61539 samples
[3140/5000] games, 61931 samples
[3160/5000] games, 62325 samples
[3180/5000] games, 62722 samples
[3200/5000] games, 63108 samples
[3220/5000] games, 63504 samples
[3240/5000] games, 63882 samples
[3260/5000] games, 64282 samples
[3280/5000] games, 64677 samples
[3300/5000] games, 65073 samples
[3320/5000] games, 65461 samples
[3340/5000] games, 65861 samples
[3360/5000] games, 66260 samples
[3380/5000] games, 66660 samples
[3400/5000] games, 67060 samples
[3420/5000] games, 67460 samples
[3440/5000] games, 67860 samples
[3460/5000] games, 68244 samples
[3480/5000] games, 68639 samples
[3500/5000] games, 69033 samples
[3520/5000] games, 69426 samples
[3540/5000] games, 69822 samples
[3560/5000] games, 70211 samples
[3580/5000] games, 70611 samples
[3600/5000] games, 71011 samples
[3620/5000] games, 71402 samples
[3640/5000] games, 71802 samples
[3660/5000] games, 72191 samples
[3680/5000] games, 72567 samples
[3700/5000] games, 72967 samples
[3720/5000] games, 73363 samples
[3740/5000] games, 73759 samples
[3760/5000] games, 74155 samples
[3780/5000] games, 74524 samples
[3800/5000] games, 74909 samples
[3820/5000] games, 75304 samples
[3840/5000] games, 75701 samples
[3860/5000] games, 76093 samples
[3880/5000] games, 76493 samples
[3900/5000] games, 76893 samples
[3920/5000] games, 77291 samples
[3940/5000] games, 77678 samples
[3960/5000] games, 78075 samples
[3980/5000] games, 78462 samples
[4000/5000] games, 78862 samples
[4020/5000] games, 79247 samples
[4040/5000] games, 79637 samples
[4060/5000] games, 80026 samples
[4080/5000] games, 80426 samples
[4100/5000] games, 80825 samples
[4120/5000] games, 81212 samples
[4140/5000] games, 81601 samples
